t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,5,0.744388,0,0,0,0.85429,0.601952,0.248949,0,0,0.172914,0.1,0.862,0.75,0.7,0.75,0.4995,0.550068,0.654204,0.1
2,5,0.746277,0,0,0,0.858584,0.603908,0.247897,0,0,0.165743,0.1,0.864,0.75,0.7,0.75,0.49899,0.550126,0.658412,0.1
3,1,0.747868,0,0,0,0.861878,0.605869,0.246845,0,0,0.158505,0.1,0.866,0.75,0.7,0.75,0.498471,0.550176,0.658623,0.1
4,4,0.749011,0,0,0,0.863672,0.607839,0.245791,0,0,0.151232,0.1,0.863,0.75,0.7,0.75,0.496441,0.550212,0.658839,0.1
5,6,0.751207,0,0,0,0.866966,0.612821,0.244736,0,0,0.143892,0.1,0.865,0.75,0.7,0.75,0.493887,0.550224,0.659065,0.1
6,10,0.752803,0,0,0,0.87026,0.614808,0.243681,0,0,0.136487,0.1,0.865,0.75,0.7,0.75,0.493323,0.553227,0.659294,0.1
7,10,0.754401,0,0,0,0.873555,0.616799,0.242624,0,0,0.129016,0.1,0.865,0.75,0.7,0.75,0.492749,0.55622,0.659528,0.1
8,6,0.756602,0,0,0,0.876849,0.621802,0.241567,0,0,0.121479,0.1,0.867,0.75,0.7,0.75,0.49015,0.556189,0.659772,0.1
9,6,0.758805,0,0,0,0.880144,0.626817,0.240508,0,0,0.113876,0.1,0.869,0.75,0.7,0.75,0.487526,0.556133,0.660025,0.1
10,8,0.760409,0,0,0,0.883439,0.628837,0.239449,0,0,0.106207,0.1,0.869,0.75,0.7,0.75,0.486892,0.556068,0.660283,0.1
11,1,0.762015,0,0,0,0.886735,0.630862,0.238389,0,0,0.0984725,0.1,0.871,0.75,0.7,0.75,0.486248,0.555994,0.660545,0.1
12,5,0.763923,0,0,0,0.891033,0.632892,0.237327,0,0,0.0906519,0.1,0.873,0.75,0.7,0.75,0.485593,0.555909,0.66481,0.1
13,3,0.76643,0,0,0,0.897332,0.634919,0.236265,0,0,0.0827052,0.1,0.875,0.75,0.7,0.75,0.486929,0.555821,0.66508,0.1
14,4,0.76759,0,0,0,0.89913,0.636957,0.235201,0,0,0.0747226,0.1,0.872,0.75,0.7,0.75,0.484754,0.555719,0.665354,0.1
15,5,0.769502,0,0,0,0.903432,0.639,0.234137,0,0,0.066654,0.1,0.874,0.75,0.7,0.75,0.48407,0.555607,0.669632,0.1
16,8,0.771116,0,0,0,0.906735,0.641048,0.233071,0,0,0.0585193,0.1,0.874,0.75,0.7,0.75,0.483375,0.555485,0.669914,0.1
17,2,0.773182,0,0,0,0.910037,0.64311,0.232005,0,0,0.0503186,0.1,0.875,0.75,0.703,0.75,0.482669,0.555354,0.6702,0.1
18,8,0.7748,0,0,0,0.91334,0.645177,0.230937,0,0,0.0420518,0.1,0.875,0.75,0.703,0.75,0.481954,0.555212,0.670491,0.1
