t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,1,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.862,0.75,0.7,0.75,0.4995,0.550068,0.650204,0.1
2,8,0.745675,0,0,0,0.856575,0.603908,0.247897,0,0,0.165803,0.1,0.862,0.75,0.7,0.75,0.49899,0.550126,0.650412,0.1
3,2,0.747715,0,0,0,0.859863,0.605878,0.246845,0,0,0.158605,0.1,0.863,0.75,0.703,0.75,0.498471,0.550176,0.650623,0.1
4,2,0.749759,0,0,0,0.863151,0.60786,0.245791,0,0,0.151342,0.1,0.864,0.75,0.706,0.75,0.497941,0.550216,0.650839,0.1
5,11,0.751354,0,0,0,0.866439,0.609848,0.244736,0,0,0.144014,0.1,0.864,0.75,0.706,0.75,0.497402,0.547248,0.651059,0.1
6,2,0.753402,0,0,0,0.869727,0.611849,0.243681,0,0,0.136619,0.1,0.865,0.75,0.709,0.75,0.496853,0.54727,0.651283,0.1
7,1,0.755001,0,0,0,0.873016,0.613854,0.242624,0,0,0.129159,0.1,0.867,0.75,0.709,0.75,0.496294,0.547283,0.65151,0.1
8,5,0.756902,0,0,0,0.877307,0.615865,0.241567,0,0,0.121613,0.1,0.869,0.75,0.709,0.75,0.495724,0.547286,0.655742,0.1
9,11,0.758504,0,0,0,0.880599,0.617879,0.240509,0,0,0.114001,0.1,0.869,0.75,0.709,0.75,0.495145,0.54428,0.655978,0.1
10,7,0.760107,0,0,0,0.883891,0.619899,0.239449,0,0,0.106323,0.1,0.871,0.75,0.709,0.75,0.494556,0.544265,0.656218,0.1
11,5,0.762013,0,0,0,0.888186,0.621923,0.238389,0,0,0.0985591,0.1,0.873,0.75,0.709,0.75,0.493956,0.54424,0.660461,0.1
12,1,0.763619,0,0,0,0.891482,0.623952,0.237328,0,0,0.0907295,0.1,0.875,0.75,0.709,0.75,0.493346,0.544206,0.660709,0.1
13,9,0.765227,0,0,0,0.894777,0.625985,0.236265,0,0,0.082834,0.1,0.875,0.75,0.709,0.75,0.492727,0.544162,0.660961,0.1
14,1,0.766836,0,0,0,0.898073,0.628024,0.235202,0.39062,4,0.0748725,0.1,0.877,0.75,0.709,0.75,0.492097,0.544109,0.661217,0.1
15,10,0.768446,0,0,0,0.901369,0.630067,0.234138,0.34062,4,0.0668451,0.1,0.877,0.75,0.709,0.75,0.491457,0.547046,0.661477,0.1
16,10,0.770058,0,0,0,0.904665,0.632115,0.233073,0.29062,4,0.0587518,0.1,0.877,0.75,0.709,0.75,0.490806,0.549973,0.661742,0.1
17,6,0.772272,0,0,0,0.907961,0.637175,0.232007,0.24062,4,0.0505926,0.1,0.879,0.75,0.709,0.75,0.488131,0.549876,0.662016,0.1
18,4,0.773439,0,0,0,0.909758,0.639246,0.230939,0.19062,4,0.0423974,0.1,0.876,0.75,0.709,0.75,0.485945,0.549764,0.662295,0.1
19,10,0.775057,0,0,0,0.913055,0.641322,0.229871,0.14062,4,0.0341363,0.1,0.876,0.75,0.709,0.75,0.485249,0.552642,0.662577,0.1
20,9,0.776676,0,0,0,0.916351,0.643403,0.228802,0.0906204,4,0.0258093,0.1,0.876,0.75,0.709,0.75,0.484542,0.55251,0.662864,0.1
21,4,0.777847,0,0,0,0.918149,0.645494,0.227731,0.0406204,4,0.0174463,0.1,0.873,0.75,0.709,0.75,0.482325,0.552364,0.663155,0.1
22,8,0.77947,0,0,0,0.921446,0.647591,0.22666,0,4,0.00901742,0.1,0.873,0.75,0.709,0.75,0.481598,0.552208,0.66345,0.1
23,2,0.781546,0,0,0,0.924744,0.649702,0.225588,0,4,0.000522549,0.1,0.874,0.75,0.712,0.75,0.48086,0.552041,0.66375,0.1
24,1,0.783173,0,0,0,0.928041,0.651818,0.224514,0,4,0,0.1,0.876,0.75,0.712,0.75,0.480111,0.551864,0.664053,0.1
25,6,0.785403,0,0,0,0.931339,0.656947,0.22344,0,4,0,0.1,0.878,0.75,0.712,0.75,0.477337,0.551662,0.664367,0.1
26,11,0.787035,0,0,0,0.934638,0.659081,0.222364,0,4,0,0.1,0.878,0.75,0.712,0.75,0.476552,0.54845,0.664685,0.1
27,10,0.788668,0,0,0,0.937936,0.661221,0.221287,0,4,0,0.1,0.878,0.75,0.712,0.75,0.475757,0.551227,0.665008,0.1
28,5,0.790603,0,0,0,0.942238,0.663366,0.220209,0,4,0,0.1,0.88,0.75,0.712,0.75,0.474951,0.550994,0.669334,0.1
29,4,0.79179,0,0,0,0.94404,0.665522,0.219131,0,4,0,0.1,0.877,0.75,0.712,0.75,0.472634,0.550745,0.669665,0.1
30,6,0.794031,0,0,0,0.947342,0.670691,0.218051,0,4,0,0.1,0.879,0.75,0.712,0.75,0.469791,0.550471,0.670007,0.1
31,7,0.795673,0,0,0,0.950645,0.672865,0.216969,0,4,0,0.1,0.881,0.75,0.712,0.75,0.468938,0.550187,0.670353,0.1
32,1,0.794157,0,0,0,0.947782,0.668499,0.215887,0.274281,1,0,0.1,0.883,0.75,0.712,0.75,0.468106,0.549911,0.67069,0.1
33,9,0.793142,0,0,0,0.945886,0.665184,0.214804,0.224281,1,0,0.1,0.883,0.75,0.712,0.75,0.467291,0.549641,0.67102,0.1
34,2,0.793072,0,0,0,0.944946,0.662909,0.213719,0.174281,1,0,0.1,0.884,0.75,0.715,0.75,0.466488,0.549374,0.671346,0.1
35,6,0.793638,0,0,0,0.944956,0.66464,0.212634,0.124281,1,0,0.1,0.886,0.75,0.715,0.75,0.463676,0.549092,0.671675,0.1
36,10,0.79409,0,0,0,0.945911,0.66438,0.211547,0.0742812,1,0,0.1,0.886,0.75,0.715,0.75,0.462865,0.551806,0.672004,0.1
37,2,0.795478,0,0,0,0.94781,0.665133,0.21046,0.0242812,1,0,0.1,0.887,0.75,0.718,0.75,0.46205,0.551514,0.672334,0.1
38,2,0.797351,0,0,0,0.950654,0.666896,0.209371,0,1,0,0.1,0.888,0.75,0.721,0.75,0.461227,0.551213,0.672668,0.1
39,2,0.799463,0,0,0,0.953958,0.669158,0.208281,0,1,0,0.1,0.889,0.75,0.724,0.75,0.460393,0.550901,0.673006,0.1
40,5,0.801427,0,0,0,0.958266,0.671425,0.20719,0.500883,6,0,0.1,0.891,0.75,0.724,0.75,0.459547,0.550577,0.677349,0.1
41,5,0.803393,0,0,0,0.962577,0.673699,0.206098,0.450883,6,0,0.1,0.893,0.75,0.724,0.75,0.45869,0.550243,0.681696,0.1
42,8,0.805061,0,0,0,0.965888,0.675978,0.205004,0.400883,6,0,0.1,0.893,0.75,0.724,0.75,0.457821,0.549898,0.682048,0.1
43,4,0.806282,0,0,0,0.9677,0.678268,0.20391,0.350883,6,0,0.1,0.89,0.75,0.724,0.75,0.455441,0.549537,0.682405,0.1
44,2,0.808405,0,0,0,0.971012,0.680574,0.202814,0.300883,6,0,0.1,0.891,0.75,0.727,0.75,0.45455,0.549165,0.682766,0.1
45,2,0.810532,0,0,0,0.974324,0.682894,0.201718,0.258669,4,0,0.1,0.892,0.75,0.73,0.75,0.453647,0.548781,0.683132,0.1
46,3,0.813109,0,0,0,0.980636,0.685213,0.20062,0.208669,4,0,0.1,0.894,0.75,0.73,0.75,0.454733,0.548392,0.683502,0.1
47,5,0.815089,0,0,0,0.984952,0.687537,0.199521,0.158669,4,0,0.1,0.896,0.75,0.73,0.75,0.453806,0.547992,0.687877,0.1
48,2,0.817222,0,0,0,0.988267,0.689877,0.198421,0.108669,4,0,0.1,0.897,0.75,0.733,0.75,0.452869,0.54758,0.688257,0.1
49,8,0.818906,0,0,0,0.991584,0.692223,0.197319,0.0586688,4,0,0.1,0.897,0.75,0.733,0.75,0.451919,0.547157,0.688642,0.1
50,10,0.820592,0,0,0,0.9949,0.694575,0.196217,0.00866876,4,0,0.1,0.897,0.75,0.733,0.75,0.450958,0.549722,0.689031,0.1
51,9,0.822279,0,0,0,0.998217,0.696933,0.195113,0,4,0,0.1,0.897,0.75,0.733,0.75,0.449985,0.549276,0.689425,0.1
52,4,0.823509,0,0,0,1,0.699303,0.194008,0,4,0,0.1,0.894,0.75,0.733,0.75,0.447501,0.548813,0.689823,0.1
53,9,0.824205,0,0,0,1,0.701679,0.192902,0,4,0,0.1,0.894,0.75,0.733,0.75,0.446504,0.548338,0.690227,0.1
54,1,0.824903,0,0,0,1,0.704061,0.191795,0,4,0,0.1,0.896,0.75,0.733,0.75,0.445496,0.547852,0.690635,0.1
55,9,0.825603,0,0,0,1,0.70645,0.190686,0,4,0,0.1,0.896,0.75,0.733,0.75,0.444476,0.547354,0.691048,0.1
56,4,0.826305,0,0,0,1,0.70885,0.189576,0,4,0,0.1,0.893,0.75,0.733,0.75,0.441943,0.546839,0.691465,0.1
57,7,0.827008,0,0,0,1,0.711257,0.188465,0,4,0,0.1,0.895,0.75,0.733,0.75,0.440899,0.546312,0.691888,0.1
