t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,9,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.86,0.75,0.7,0.75,0.4995,0.550068,0.650204,0.1
2,6,0.746276,0,0,0,0.856575,0.606915,0.247897,0,0,0.165803,0.1,0.862,0.75,0.7,0.75,0.496975,0.550111,0.650418,0.1
3,9,0.747867,0,0,0,0.859863,0.608883,0.246845,0,0,0.158605,0.1,0.862,0.75,0.7,0.75,0.496441,0.550146,0.650636,0.1
4,6,0.75006,0,0,0,0.863151,0.613863,0.245791,0,0,0.151342,0.1,0.864,0.75,0.7,0.75,0.493881,0.550156,0.650863,0.1
5,8,0.751654,0,0,0,0.866439,0.615847,0.244736,0,0,0.144014,0.1,0.864,0.75,0.7,0.75,0.493312,0.550157,0.651095,0.1
6,5,0.75355,0,0,0,0.87073,0.617836,0.243681,0,0,0.136599,0.1,0.866,0.75,0.7,0.75,0.492733,0.550149,0.655331,0.1
7,6,0.755749,0,0,0,0.874022,0.622836,0.242624,0,0,0.129119,0.1,0.868,0.75,0.7,0.75,0.490129,0.550116,0.655576,0.1
8,2,0.757801,0,0,0,0.877314,0.624851,0.241566,0,0,0.121572,0.1,0.869,0.75,0.703,0.75,0.489514,0.550074,0.655826,0.1
9,8,0.759404,0,0,0,0.880605,0.62687,0.240508,0,0,0.11396,0.1,0.869,0.75,0.703,0.75,0.48889,0.550023,0.65608,0.1
10,9,0.761008,0,0,0,0.883898,0.628894,0.239448,0,0,0.106282,0.1,0.869,0.75,0.703,0.75,0.488256,0.549962,0.656337,0.1
11,7,0.762614,0,0,0,0.88719,0.630923,0.238388,0,0,0.0985385,0.1,0.871,0.75,0.703,0.75,0.487611,0.549891,0.656599,0.1
12,7,0.764221,0,0,0,0.890482,0.632957,0.237326,0,0,0.0907289,0.1,0.873,0.75,0.703,0.75,0.486957,0.54981,0.656865,0.1
13,11,0.765829,0,0,0,0.893775,0.634996,0.236264,0,0,0.0828534,0.1,0.873,0.75,0.703,0.75,0.486292,0.54672,0.657135,0.1
14,9,0.767438,0,0,0,0.897068,0.637039,0.2352,0,0,0.074912,0.1,0.873,0.75,0.703,0.75,0.485617,0.54662,0.657409,0.1
15,1,0.769049,0,0,0,0.900361,0.639088,0.234136,0,0,0.0669048,0.1,0.875,0.75,0.703,0.75,0.484932,0.546511,0.657687,0.1
16,8,0.770661,0,0,0,0.903654,0.641142,0.23307,0,0,0.0588317,0.1,0.875,0.75,0.703,0.75,0.484236,0.546391,0.65797,0.1
17,8,0.772274,0,0,0,0.906948,0.643201,0.232004,0,0,0.0506928,0.1,0.875,0.75,0.703,0.75,0.483531,0.546262,0.658256,0.1
18,10,0.773888,0,0,0,0.910241,0.645265,0.230936,0,0,0.0424879,0.1,0.875,0.75,0.703,0.75,0.482815,0.549122,0.658547,0.1
19,11,0.775504,0,0,0,0.913535,0.647334,0.229867,0,0,0.0342172,0.1,0.875,0.75,0.703,0.75,0.482088,0.545973,0.658841,0.1
20,11,0.777121,0,0,0,0.916829,0.649409,0.228798,0,0,0.0258807,0.1,0.875,0.75,0.703,0.75,0.481352,0.542814,0.65914,0.1
21,9,0.778739,0,0,0,0.920124,0.651488,0.227727,0,0,0.0174782,0.1,0.875,0.75,0.703,0.75,0.480604,0.542644,0.659443,0.1
22,9,0.780359,0,0,0,0.923418,0.653573,0.226655,0,0,0.00900982,0.1,0.875,0.75,0.703,0.75,0.479847,0.542465,0.65975,0.1
23,7,0.78198,0,0,0,0.926713,0.655664,0.225582,0,0,0.000475562,0.1,0.877,0.75,0.703,0.75,0.479079,0.542275,0.660062,0.1
24,9,0.783603,0,0,0,0.930008,0.657759,0.224508,0,0,0,0.1,0.877,0.75,0.703,0.75,0.478301,0.542075,0.660377,0.1
25,4,0.784778,0,0,0,0.931803,0.659866,0.223433,0,0,0,0.1,0.874,0.75,0.703,0.75,0.476012,0.54186,0.660697,0.1
26,1,0.786404,0,0,0,0.935099,0.661978,0.222357,0,0,0,0.1,0.876,0.75,0.703,0.75,0.475213,0.541635,0.661021,0.1
27,2,0.788483,0,0,0,0.938395,0.664104,0.22128,0,0,0,0.1,0.877,0.75,0.706,0.75,0.474403,0.541399,0.661349,0.1
28,8,0.790114,0,0,0,0.941691,0.666236,0.220202,0,0,0,0.1,0.877,0.75,0.706,0.75,0.473582,0.541153,0.661682,0.1
29,9,0.791746,0,0,0,0.944987,0.668374,0.219122,0,0,0,0.1,0.877,0.75,0.706,0.75,0.472751,0.540897,0.662018,0.1
30,7,0.79338,0,0,0,0.948283,0.670517,0.218042,0,0,0,0.1,0.879,0.75,0.706,0.75,0.471909,0.54063,0.662359,0.1
