t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,2,0.744539,0,0,0,0.853287,0.601961,0.248949,0,0,0.172934,0.1,0.861,0.75,0.703,0.75,0.4995,0.550068,0.650204,0.1
2,11,0.746128,0,0,0,0.856575,0.603926,0.247897,0,0,0.165803,0.1,0.861,0.75,0.703,0.75,0.49899,0.547126,0.650412,0.1
3,11,0.747719,0,0,0,0.859863,0.605896,0.246845,0,0,0.158605,0.1,0.861,0.75,0.703,0.75,0.498471,0.544176,0.650624,0.1
4,8,0.749311,0,0,0,0.863151,0.607869,0.245791,0,0,0.151342,0.1,0.861,0.75,0.703,0.75,0.497941,0.544216,0.650839,0.1
5,11,0.750904,0,0,0,0.866439,0.609848,0.244736,0,0,0.144014,0.1,0.861,0.75,0.703,0.75,0.497402,0.541248,0.651059,0.1
6,9,0.752498,0,0,0,0.869727,0.611831,0.243681,0,0,0.136619,0.1,0.861,0.75,0.703,0.75,0.496853,0.54127,0.651283,0.1
7,10,0.754094,0,0,0,0.873016,0.613818,0.242624,0,0,0.129159,0.1,0.861,0.75,0.703,0.75,0.496293,0.544283,0.65151,0.1
8,7,0.75569,0,0,0,0.876304,0.615811,0.241567,0,0,0.121633,0.1,0.863,0.75,0.703,0.75,0.495724,0.544286,0.651742,0.1
9,3,0.758186,0,0,0,0.882593,0.6178,0.240509,0,0,0.113981,0.1,0.865,0.75,0.703,0.75,0.497145,0.544287,0.651978,0.1
10,3,0.760682,0,0,0,0.888882,0.619787,0.239449,0,0,0.106203,0.1,0.867,0.75,0.703,0.75,0.498556,0.544284,0.652217,0.1
11,7,0.762279,0,0,0,0.892171,0.621779,0.238389,0,0,0.0983598,0.1,0.869,0.75,0.703,0.75,0.497957,0.544272,0.652461,0.1
12,4,0.763429,0,0,0,0.893961,0.623781,0.237328,0,0,0.0904806,0.1,0.866,0.75,0.703,0.75,0.495848,0.544245,0.652708,0.1
13,7,0.765029,0,0,0,0.89725,0.625787,0.236265,0,0,0.0825356,0.1,0.868,0.75,0.703,0.75,0.495229,0.54421,0.65296,0.1
14,9,0.766631,0,0,0,0.90054,0.627798,0.235202,0,0,0.0745248,0.1,0.868,0.75,0.703,0.75,0.494601,0.544165,0.653215,0.1
15,3,0.769133,0,0,0,0.90683,0.629808,0.234138,0,0,0.0663882,0.1,0.87,0.75,0.703,0.75,0.495962,0.544116,0.653475,0.1
16,10,0.770736,0,0,0,0.91012,0.631821,0.233073,0,0,0.0581858,0.1,0.87,0.75,0.703,0.75,0.495313,0.547057,0.653739,0.1
17,8,0.77234,0,0,0,0.91341,0.63384,0.232007,0,0,0.0499176,0.1,0.87,0.75,0.703,0.75,0.494653,0.546989,0.654006,0.1
18,8,0.773945,0,0,0,0.916701,0.635864,0.230939,0,0,0.0415836,0.1,0.87,0.75,0.703,0.75,0.493984,0.546912,0.654278,0.1
19,1,0.775552,0,0,0,0.919992,0.637893,0.229871,0,0,0.0331837,0.1,0.872,0.75,0.703,0.75,0.493305,0.546825,0.654554,0.1
20,9,0.77716,0,0,0,0.923282,0.639927,0.228802,0,0,0.0247181,0.1,0.872,0.75,0.703,0.75,0.492615,0.546727,0.654834,0.1
21,10,0.778769,0,0,0,0.926574,0.641966,0.227732,0,0,0.0161866,0.1,0.872,0.75,0.703,0.75,0.491916,0.54962,0.655118,0.1
22,9,0.780379,0,0,0,0.929865,0.64401,0.22666,0,0,0.00758931,0.1,0.872,0.75,0.703,0.75,0.491206,0.549504,0.655406,0.1
23,7,0.781991,0,0,0,0.933156,0.646059,0.225588,0,0,0,0.1,0.874,0.75,0.703,0.75,0.490486,0.549377,0.655698,0.1
24,7,0.783604,0,0,0,0.936448,0.648114,0.224515,0,0,0,0.1,0.876,0.75,0.703,0.75,0.489756,0.54924,0.655994,0.1
25,5,0.78552,0,0,0,0.940743,0.650173,0.22344,0,0,0,0.1,0.878,0.75,0.703,0.75,0.489015,0.549093,0.660294,0.1
26,8,0.787136,0,0,0,0.944038,0.652238,0.222365,0,0,0,0.1,0.878,0.75,0.703,0.75,0.488264,0.548937,0.660599,0.1
27,1,0.788754,0,0,0,0.947334,0.654309,0.221288,0,0,0,0.1,0.88,0.75,0.703,0.75,0.487503,0.54877,0.660907,0.1
28,11,0.790374,0,0,0,0.95063,0.656384,0.22021,0,0,0,0.1,0.88,0.75,0.703,0.75,0.486731,0.545593,0.66122,0.1
29,6,0.792596,0,0,0,0.953925,0.661473,0.219132,0,0,0,0.1,0.882,0.75,0.703,0.75,0.483935,0.545391,0.661543,0.1
30,5,0.79452,0,0,0,0.958225,0.663567,0.218052,0,0,0,0.1,0.884,0.75,0.703,0.75,0.483127,0.545178,0.66587,0.1
31,7,0.796146,0,0,0,0.961524,0.665666,0.216971,0,0,0,0.1,0.886,0.75,0.703,0.75,0.482309,0.544955,0.666202,0.1
32,8,0.797774,0,0,0,0.964824,0.667771,0.215889,0,0,0,0.1,0.886,0.75,0.703,0.75,0.481481,0.544722,0.666537,0.1
33,9,0.799402,0,0,0,0.968124,0.669881,0.214806,0,0,0,0.1,0.886,0.75,0.703,0.75,0.480642,0.544478,0.666877,0.1
34,8,0.801032,0,0,0,0.971424,0.671998,0.213722,0,0,0,0.1,0.886,0.75,0.703,0.75,0.479793,0.544223,0.667221,0.1
35,7,0.802664,0,0,0,0.974724,0.67412,0.212636,0.094706,4,0,0.1,0.888,0.75,0.703,0.75,0.478933,0.543958,0.667569,0.1
36,1,0.804297,0,0,0,0.978025,0.676247,0.21155,0.044706,4,0,0.1,0.89,0.75,0.703,0.75,0.478062,0.543683,0.667922,0.1
37,10,0.805931,0,0,0,0.981326,0.678381,0.210462,0,4,0,0.1,0.89,0.75,0.703,0.75,0.477181,0.546396,0.668278,0.1
38,10,0.807567,0,0,0,0.984627,0.68052,0.209373,0,4,0,0.1,0.89,0.75,0.703,0.75,0.476289,0.549099,0.668639,0.1
39,6,0.809806,0,0,0,0.987928,0.685672,0.208283,0,4,0,0.1,0.892,0.75,0.703,0.75,0.473371,0.548777,0.669011,0.1
40,6,0.812048,0,0,0,0.99123,0.690838,0.207192,0,4,0,0.1,0.894,0.75,0.703,0.75,0.470428,0.548428,0.669392,0.1
41,6,0.814293,0,0,0,0.994532,0.696017,0.2061,0,4,0,0.1,0.896,0.75,0.703,0.75,0.467459,0.548053,0.669784,0.1
42,6,0.816541,0,0,0,0.997835,0.701209,0.205007,0,4,0,0.1,0.898,0.75,0.703,0.75,0.464464,0.547652,0.670187,0.1
43,5,0.817849,0,0,0,1,0.703408,0.203912,0,4,0,0.1,0.9,0.75,0.703,0.75,0.463458,0.547239,0.674594,0.1
44,2,0.818961,0,0,0,1,0.705621,0.202816,0,4,0,0.1,0.901,0.75,0.706,0.75,0.462441,0.546816,0.675005,0.1
45,7,0.819625,0,0,0,1,0.707842,0.201719,0,4,0,0.1,0.903,0.75,0.706,0.75,0.461413,0.546381,0.675421,0.1
46,11,0.82029,0,0,0,1,0.710068,0.200621,0,4,0,0.1,0.903,0.75,0.706,0.75,0.460373,0.542934,0.675841,0.1
47,11,0.820956,0,0,0,1,0.712301,0.199521,0,4,0,0.1,0.903,0.75,0.706,0.75,0.459323,0.539476,0.676265,0.1
48,5,0.821624,0,0,0,1,0.71454,0.19842,0,4,0,0.1,0.905,0.75,0.706,0.75,0.458262,0.539007,0.680694,0.1
49,4,0.822295,0,0,0,1,0.716792,0.197318,0,4,0,0.1,0.902,0.75,0.706,0.75,0.455689,0.538521,0.681128,0.1
50,7,0.822967,0,0,0,1,0.71905,0.196215,0,4,0,0.1,0.904,0.75,0.706,0.75,0.454605,0.538024,0.681566,0.1
51,6,0.824242,0,0,0,1,0.724321,0.19511,0,4,0,0.1,0.906,0.75,0.706,0.75,0.451495,0.537499,0.682015,0.1
52,6,0.825521,0,0,0,1,0.729607,0.194004,0,4,0,0.1,0.908,0.75,0.706,0.75,0.448358,0.536948,0.682474,0.1
53,6,0.826802,0,0,0,1,0.734907,0.192897,0,4,0,0.1,0.91,0.75,0.706,0.75,0.445195,0.53637,0.682944,0.1
54,6,0.828086,0,0,0,1,0.74022,0.191788,0,4,0,0.1,0.912,0.75,0.706,0.75,0.442005,0.535765,0.683424,0.1
55,2,0.829224,0,0,0,1,0.74255,0.190679,0,4,0,0.1,0.913,0.75,0.709,0.75,0.440804,0.535147,0.683909,0.1
56,9,0.82807,0,0,0,1,0.744887,0.189567,0.359759,2,0,0.1,0.913,0.737707,0.709,0.75,0.439592,0.534517,0.675992,0.1
57,10,0.827169,0,0,0,1,0.747231,0.188455,0.309759,2,0,0.1,0.913,0.727091,0.709,0.75,0.438367,0.536875,0.669191,0.1
58,3,0.826509,0,0,0,1,0.749575,0.187341,0.259759,2,0,0.1,0.915,0.718082,0.709,0.75,0.439131,0.536227,0.663471,0.1
59,4,0.826084,0,0,0,1,0.751931,0.186226,0.209759,2,0,0.1,0.912,0.710621,0.709,0.75,0.436383,0.535561,0.658805,0.1
60,11,0.825886,0,0,0,1,0.754295,0.185109,0.159759,2,0,0.1,0.912,0.704659,0.709,0.75,0.435123,0.531883,0.655168,0.1
61,6,0.82651,0,0,0,1,0.759673,0.183991,0.109759,2,0,0.1,0.914,0.700156,0.709,0.75,0.431837,0.531177,0.652547,0.1
62,3,0.826748,0,0,0,1,0.762051,0.182872,0.0597588,2,0,0.1,0.916,0.697082,0.709,0.75,0.432539,0.530464,0.650922,0.1
63,9,0.8272,0,0,0,1,0.764437,0.181751,0.00975878,2,0,0.1,0.916,0.695416,0.709,0.75,0.431228,0.529739,0.650284,0.1
64,8,0.827862,0,0,0,1,0.76683,0.180629,0,2,0,0.1,0.916,0.695144,0.709,0.75,0.429906,0.529001,0.650628,0.1
65,1,0.828567,0,0,0,1,0.769231,0.179505,0,2,0,0.1,0.918,0.695144,0.709,0.75,0.428572,0.52825,0.651166,0.1
66,1,0.828811,0,0,0,1,0.769328,0.17838,0.0501437,1,0,0.1,0.92,0.695144,0.709,0.75,0.427237,0.527493,0.651705,0.1
67,3,0.829287,0,0,0,1,0.770579,0.177254,0.000143737,1,0,0.1,0.922,0.695144,0.709,0.75,0.427897,0.526732,0.652246,0.1
68,9,0.829995,0,0,0,1,0.772992,0.176126,0,1,0,0.1,0.922,0.695144,0.709,0.75,0.426544,0.525959,0.652792,0.1
69,10,0.830705,0,0,0,1,0.775415,0.174997,0,1,0,0.1,0.922,0.695144,0.709,0.75,0.425179,0.528172,0.653343,0.1
70,11,0.831418,0,0,0,1,0.777847,0.173866,0,1,0,0.1,0.922,0.695144,0.709,0.75,0.423802,0.524373,0.653898,0.1
71,4,0.832133,0,0,0,1,0.780291,0.172734,0,1,0,0.1,0.919,0.695144,0.709,0.75,0.420912,0.523555,0.654459,0.1
72,10,0.83285,0,0,0,1,0.782743,0.1716,0,1,0,0.1,0.919,0.695144,0.709,0.75,0.419511,0.525725,0.655024,0.1
