t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,7,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.862,0.75,0.7,0.75,0.4995,0.550068,0.650204,0.1
2,5,0.745976,0,0,0,0.857578,0.603908,0.247897,0,0,0.165783,0.1,0.864,0.75,0.7,0.75,0.49899,0.550126,0.654412,0.1
3,9,0.747565,0,0,0,0.860869,0.605869,0.246845,0,0,0.158565,0.1,0.864,0.75,0.7,0.75,0.498471,0.550176,0.654623,0.1
4,8,0.749157,0,0,0,0.86416,0.607833,0.245791,0,0,0.151282,0.1,0.864,0.75,0.7,0.75,0.497941,0.550217,0.654839,0.1
5,3,0.751113,0,0,0,0.870449,0.609796,0.244736,0.0685744,2,0.143873,0.1,0.866,0.746443,0.7,0.75,0.499402,0.550254,0.652729,0.1
6,8,0.752397,0,0,0,0.873738,0.611763,0.243681,0.0185744,2,0.136398,0.1,0.866,0.744395,0.7,0.75,0.498853,0.550282,0.65161,0.1
7,9,0.753906,0,0,0,0.877026,0.613734,0.242624,0,2,0.128858,0.1,0.866,0.743842,0.7,0.75,0.498294,0.550302,0.651474,0.1
8,6,0.756101,0,0,0,0.880315,0.618717,0.241567,0,2,0.121252,0.1,0.868,0.743842,0.7,0.75,0.495711,0.550297,0.651712,0.1
9,4,0.757248,0,0,0,0.882104,0.62071,0.240509,0,2,0.113609,0.1,0.865,0.743842,0.7,0.75,0.493617,0.550278,0.651953,0.1
10,1,0.758846,0,0,0,0.885393,0.622708,0.239449,0.114045,6,0.105902,0.1,0.867,0.743842,0.7,0.75,0.493014,0.550249,0.652199,0.1
11,2,0.760897,0,0,0,0.888682,0.62472,0.238389,0.0640446,6,0.098128,0.1,0.868,0.743842,0.703,0.75,0.4924,0.550212,0.652448,0.1
12,2,0.762951,0,0,0,0.891971,0.626744,0.237328,0,5,0.0902886,0.1,0.869,0.743842,0.706,0.74951,0.491776,0.550164,0.652702,0.1
13,2,0.765008,0,0,0,0.895261,0.628782,0.236265,0,5,0.0823833,0.1,0.87,0.743842,0.709,0.74951,0.491143,0.550107,0.652959,0.1
14,1,0.766616,0,0,0,0.89855,0.630824,0.235202,0,5,0.0744123,0.1,0.872,0.743842,0.709,0.74951,0.490499,0.550041,0.653221,0.1
