t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,3,0.744983,0,0,0,0.856287,0.601945,0.248961,0,0,0.172874,0.1,0.862,0.75,0.7,0.75,0.5015,0.550074,0.650204,0.1
2,8,0.746568,0,0,0,0.859575,0.603894,0.247917,0,0,0.165683,0.1,0.862,0.75,0.7,0.75,0.50099,0.550138,0.650412,0.1
3,2,0.748606,0,0,0,0.862863,0.605856,0.246868,0,0,0.158425,0.1,0.863,0.75,0.703,0.75,0.500471,0.550194,0.650623,0.1
4,8,0.750197,0,0,0,0.866151,0.607823,0.245815,0,0,0.151102,0.1,0.863,0.75,0.703,0.75,0.499942,0.550241,0.650839,0.1
5,8,0.751788,0,0,0,0.869439,0.609794,0.24476,0,0,0.143714,0.1,0.863,0.75,0.703,0.75,0.499402,0.550278,0.651059,0.1
6,4,0.752932,0,0,0,0.871227,0.611775,0.243704,0,0,0.136289,0.1,0.86,0.75,0.703,0.75,0.497353,0.550302,0.651282,0.1
7,1,0.754527,0,0,0,0.874516,0.613761,0.242648,0,0,0.128799,0.1,0.862,0.75,0.703,0.75,0.496795,0.550317,0.65151,0.1
8,9,0.756123,0,0,0,0.877804,0.615751,0.241591,0,0,0.121243,0.1,0.862,0.75,0.703,0.75,0.496226,0.550322,0.651741,0.1
9,9,0.757721,0,0,0,0.881093,0.617746,0.240532,0,0,0.113621,0.1,0.862,0.75,0.703,0.75,0.495647,0.550318,0.651977,0.1
10,5,0.75962,0,0,0,0.885385,0.619745,0.239473,0,0,0.105913,0.1,0.864,0.75,0.703,0.75,0.495058,0.550305,0.656216,0.1
11,7,0.761221,0,0,0,0.888677,0.621749,0.238413,0,0,0.0981396,0.1,0.866,0.75,0.703,0.75,0.49446,0.550282,0.65646,0.1
12,9,0.762822,0,0,0,0.89197,0.623758,0.237351,0,0,0.0903002,0.1,0.866,0.75,0.703,0.75,0.493851,0.55025,0.656707,0.1
13,8,0.764425,0,0,0,0.895262,0.625772,0.236289,0,0,0.082395,0.1,0.866,0.75,0.703,0.75,0.493232,0.550209,0.656959,0.1
14,2,0.766481,0,0,0,0.898555,0.6278,0.235226,0,0,0.0744239,0.1,0.867,0.75,0.706,0.75,0.492603,0.550158,0.657214,0.1
15,11,0.768088,0,0,0,0.901848,0.629832,0.234162,0,0,0.0663869,0.1,0.867,0.75,0.706,0.75,0.491964,0.547097,0.657474,0.1
16,6,0.770298,0,0,0,0.905141,0.634876,0.233096,0,0,0.0582841,0.1,0.869,0.75,0.706,0.75,0.4893,0.547011,0.657744,0.1
17,2,0.772361,0,0,0,0.908434,0.636935,0.23203,0,0,0.0501154,0.1,0.87,0.75,0.709,0.75,0.488626,0.546916,0.658018,0.1
18,11,0.773975,0,0,0,0.911728,0.638998,0.230963,0,0,0.0418809,0.1,0.87,0.75,0.709,0.75,0.487941,0.543811,0.658296,0.1
19,6,0.776192,0,0,0,0.915022,0.644074,0.229895,0,0,0.0335804,0.1,0.872,0.75,0.709,0.75,0.485231,0.543681,0.658584,0.1
20,9,0.777811,0,0,0,0.918315,0.646155,0.228825,0,0,0.0252141,0.1,0.872,0.75,0.709,0.75,0.484511,0.543541,0.658876,0.1
21,10,0.77943,0,0,0,0.92161,0.648242,0.227755,0,0,0.0167819,0.1,0.872,0.75,0.709,0.75,0.48378,0.546391,0.659173,0.1
22,4,0.780602,0,0,0,0.923404,0.650338,0.226684,0,0,0.00831384,0.1,0.869,0.75,0.709,0.75,0.481539,0.546226,0.659473,0.1
23,1,0.782225,0,0,0,0.926699,0.652441,0.225611,0,0,0,0.1,0.871,0.75,0.709,0.75,0.480787,0.546051,0.659778,0.1
24,6,0.784452,0,0,0,0.929993,0.657555,0.224538,0,0,0,0.1,0.873,0.75,0.709,0.75,0.47801,0.545851,0.660093,0.1
25,1,0.786079,0,0,0,0.933289,0.659675,0.223463,0,0,0,0.1,0.875,0.75,0.709,0.75,0.477222,0.54564,0.660413,0.1
26,10,0.787708,0,0,0,0.936584,0.661801,0.222387,0,0,0,0.1,0.875,0.75,0.709,0.75,0.476424,0.548419,0.660736,0.1
27,11,0.789338,0,0,0,0.939879,0.663932,0.221311,0,0,0,0.1,0.875,0.75,0.709,0.75,0.475615,0.545188,0.661064,0.1
28,1,0.79097,0,0,0,0.943175,0.666069,0.220233,0,0,0,0.1,0.877,0.75,0.709,0.75,0.474795,0.544946,0.661396,0.1
29,3,0.793501,0,0,0,0.949471,0.668204,0.219154,0,0,0,0.1,0.879,0.75,0.709,0.75,0.475965,0.5447,0.661733,0.1
30,11,0.795134,0,0,0,0.952768,0.670344,0.218074,0,0,0,0.1,0.879,0.75,0.709,0.75,0.475124,0.541443,0.662073,0.1
31,4,0.79632,0,0,0,0.954564,0.672496,0.216992,0,0,0,0.1,0.876,0.75,0.709,0.75,0.472772,0.541171,0.662418,0.1
32,11,0.797957,0,0,0,0.957861,0.674653,0.21591,0,0,0,0.1,0.876,0.75,0.709,0.75,0.471909,0.537888,0.662768,0.1
