t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,7,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.862,0.75,0.7,0.75,0.4995,0.550068,0.650204,0.1
2,8,0.745675,0,0,0,0.856575,0.603908,0.247897,0,0,0.165803,0.1,0.862,0.75,0.7,0.75,0.49899,0.550126,0.650412,0.1
3,5,0.747565,0,0,0,0.860866,0.605869,0.246845,0,0,0.158585,0.1,0.864,0.75,0.7,0.75,0.498471,0.550176,0.654623,0.1
4,6,0.749757,0,0,0,0.864157,0.610841,0.245791,0,0,0.151302,0.1,0.866,0.75,0.7,0.75,0.495926,0.550201,0.654845,0.1
5,8,0.751351,0,0,0,0.867448,0.612818,0.244736,0,0,0.143953,0.1,0.866,0.75,0.7,0.75,0.495372,0.550218,0.655071,0.1
6,9,0.752945,0,0,0,0.870739,0.614799,0.243681,0,0,0.136539,0.1,0.866,0.75,0.7,0.75,0.494808,0.550225,0.6553,0.1
7,3,0.75544,0,0,0,0.877031,0.616778,0.242624,0,0,0.128998,0.1,0.868,0.75,0.7,0.75,0.496234,0.550229,0.655534,0.1
8,9,0.757036,0,0,0,0.880322,0.618761,0.241567,0,0,0.121391,0.1,0.868,0.75,0.7,0.75,0.49565,0.550223,0.655771,0.1
9,6,0.759234,0,0,0,0.883614,0.623756,0.240508,0,0,0.113719,0.1,0.87,0.75,0.7,0.75,0.493041,0.550194,0.656019,0.1
10,1,0.760833,0,0,0,0.886906,0.625756,0.239449,0,0,0.105981,0.1,0.872,0.75,0.7,0.75,0.492423,0.550154,0.65627,0.1
11,5,0.762735,0,0,0,0.891202,0.627761,0.238389,0,0,0.098157,0.1,0.874,0.75,0.7,0.75,0.491794,0.550106,0.660526,0.1
12,1,0.764338,0,0,0,0.894497,0.629771,0.237327,0,0,0.0902671,0.1,0.876,0.75,0.7,0.75,0.491155,0.550047,0.660786,0.1
13,1,0.765942,0,0,0,0.897793,0.631785,0.236265,0,0,0.0823112,0.1,0.878,0.75,0.7,0.75,0.490506,0.54998,0.661049,0.1
14,10,0.767547,0,0,0,0.901088,0.633805,0.235201,0,0,0.0742895,0.1,0.878,0.75,0.7,0.75,0.489847,0.552902,0.661317,0.1
15,5,0.769455,0,0,0,0.905387,0.635829,0.234137,0,0,0.0661817,0.1,0.88,0.75,0.7,0.75,0.489178,0.552815,0.665588,0.1
16,11,0.771063,0,0,0,0.908686,0.637859,0.233072,0,0,0.058008,0.1,0.88,0.75,0.7,0.75,0.488499,0.549718,0.665864,0.1
17,5,0.772974,0,0,0,0.912989,0.639893,0.232005,0,0,0.0497482,0.1,0.882,0.75,0.7,0.75,0.48781,0.549611,0.670144,0.1
18,7,0.774586,0,0,0,0.916291,0.641933,0.230938,0,0,0.0414224,0.1,0.884,0.75,0.7,0.75,0.48711,0.549495,0.670428,0.1
19,2,0.776652,0,0,0,0.919594,0.643987,0.229869,0,0,0.0330305,0.1,0.885,0.75,0.703,0.75,0.486401,0.549369,0.670716,0.1
20,9,0.778268,0,0,0,0.922897,0.646046,0.2288,0,0,0.0245726,0.1,0.885,0.75,0.703,0.75,0.485681,0.549232,0.671008,0.1
21,4,0.779437,0,0,0,0.924701,0.648115,0.227729,0,0,0.0160785,0.1,0.882,0.75,0.703,0.75,0.48345,0.549082,0.671304,0.1
22,3,0.781956,0,0,0,0.931004,0.650183,0.226658,0,0,0.00745846,0.1,0.884,0.75,0.703,0.75,0.48471,0.548927,0.671604,0.1
23,2,0.784028,0,0,0,0.934308,0.652264,0.225585,0,0,0,0.1,0.885,0.75,0.706,0.75,0.483959,0.548762,0.671909,0.1
24,6,0.786253,0,0,0,0.937612,0.657359,0.224511,0,0,0,0.1,0.887,0.75,0.706,0.75,0.481183,0.548572,0.672224,0.1
25,8,0.787879,0,0,0,0.940916,0.659458,0.223436,0,0,0,0.1,0.887,0.75,0.706,0.75,0.480396,0.548371,0.672543,0.1
26,5,0.789808,0,0,0,0.945223,0.661564,0.222361,0,0,0,0.1,0.889,0.75,0.706,0.75,0.479599,0.54816,0.676866,0.1
27,10,0.791437,0,0,0,0.948531,0.663674,0.221284,0,0,0,0.1,0.889,0.75,0.706,0.75,0.478791,0.550939,0.677193,0.1
28,10,0.793069,0,0,0,0.951839,0.66579,0.220205,0,0,0,0.1,0.889,0.75,0.706,0.75,0.477972,0.553708,0.677525,0.1
29,8,0.794701,0,0,0,0.955147,0.667912,0.219126,0,0,0,0.1,0.889,0.75,0.706,0.75,0.477143,0.553466,0.67786,0.1
30,10,0.796335,0,0,0,0.958455,0.67004,0.218046,0,0,0,0.1,0.889,0.75,0.706,0.75,0.476304,0.556213,0.678201,0.1
31,1,0.797971,0,0,0,0.961764,0.672173,0.216965,0,0,0,0.1,0.891,0.75,0.706,0.75,0.475454,0.55595,0.678545,0.1
32,3,0.800506,0,0,0,0.968073,0.674304,0.215882,0,0,0,0.1,0.893,0.75,0.706,0.75,0.476593,0.555683,0.678893,0.1
33,7,0.802143,0,0,0,0.971382,0.676442,0.214798,0,0,0,0.1,0.895,0.75,0.706,0.75,0.475721,0.555404,0.679246,0.1
34,2,0.804233,0,0,0,0.974692,0.678594,0.213714,0,0,0,0.1,0.896,0.75,0.709,0.75,0.474839,0.555115,0.679604,0.1
35,8,0.803791,0,0,0,0.973905,0.676474,0.212628,0.160107,1,0,0.1,0.896,0.75,0.709,0.75,0.473968,0.554828,0.679957,0.1
36,3,0.804744,0,0,0,0.977087,0.675381,0.211541,0.110107,1,0,0.1,0.898,0.75,0.709,0.75,0.475101,0.554546,0.680307,0.1
37,3,0.806192,0,0,0,0.981239,0.675305,0.210452,0.0601068,1,0,0.1,0.9,0.75,0.709,0.75,0.476236,0.554266,0.680658,0.1
38,4,0.80679,0,0,0,0.981872,0.676253,0.209363,0.0101068,1,0,0.1,0.897,0.75,0.709,0.75,0.473865,0.553975,0.68101,0.1
39,2,0.808787,0,0,0,0.984984,0.678229,0.208273,0,1,0,0.1,0.898,0.75,0.712,0.75,0.472985,0.553673,0.681367,0.1
40,7,0.810436,0,0,0,0.988295,0.680416,0.207181,0,1,0,0.1,0.9,0.75,0.712,0.75,0.472094,0.553361,0.681728,0.1
41,9,0.812086,0,0,0,0.991607,0.682608,0.206088,0,1,0,0.1,0.9,0.75,0.712,0.75,0.471192,0.553037,0.682093,0.1
42,3,0.814636,0,0,0,0.997918,0.684799,0.204994,0,1,0,0.1,0.902,0.75,0.712,0.75,0.472279,0.552709,0.682462,0.1
43,10,0.815919,0,0,0,1,0.686997,0.203899,0,1,0,0.1,0.902,0.75,0.712,0.75,0.471355,0.555369,0.682836,0.1
44,8,0.816579,0,0,0,1,0.6892,0.202803,0,1,0,0.1,0.902,0.75,0.712,0.75,0.47042,0.555019,0.683215,0.1
45,8,0.817241,0,0,0,1,0.691409,0.201706,0,1,0,0.1,0.902,0.75,0.712,0.75,0.469474,0.554657,0.683598,0.1
46,8,0.817903,0,0,0,1,0.693624,0.200607,0,1,0,0.1,0.902,0.75,0.712,0.75,0.468517,0.554284,0.683985,0.1
47,2,0.819019,0,0,0,1,0.695854,0.199507,0,1,0,0.1,0.903,0.75,0.715,0.75,0.467549,0.5539,0.684377,0.1
48,10,0.819687,0,0,0,1,0.698091,0.198406,0,1,0,0.1,0.903,0.75,0.715,0.75,0.466569,0.556505,0.684773,0.1
49,2,0.820808,0,0,0,1,0.700343,0.197304,0,1,0,0.1,0.904,0.75,0.718,0.75,0.465579,0.556098,0.685174,0.1
50,7,0.82148,0,0,0,1,0.702601,0.196201,0,1,0,0.1,0.906,0.75,0.718,0.75,0.464577,0.55568,0.685579,0.1
51,6,0.822755,0,0,0,1,0.707872,0.195096,0,1,0,0.1,0.908,0.75,0.718,0.75,0.461549,0.555236,0.685994,0.1
52,5,0.823432,0,0,0,1,0.71015,0.19399,0,1,0,0.1,0.91,0.75,0.718,0.75,0.46051,0.554779,0.690415,0.1
53,7,0.82411,0,0,0,1,0.712435,0.192883,0,1,0,0.1,0.912,0.75,0.718,0.75,0.459459,0.554311,0.69084,0.1
54,9,0.82479,0,0,0,1,0.714725,0.191775,0,1,0,0.1,0.912,0.75,0.718,0.75,0.458397,0.553832,0.691269,0.1
