t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,5,0.744388,0,0,0,0.85429,0.601952,0.248949,0,0,0.172914,0.1,0.862,0.75,0.7,0.75,0.4995,0.550068,0.654204,0.1
2,7,0.745976,0,0,0,0.857581,0.603908,0.247897,0,0,0.165763,0.1,0.864,0.75,0.7,0.75,0.49899,0.550126,0.654412,0.1
3,7,0.747566,0,0,0,0.860872,0.605869,0.246845,0,0,0.158545,0.1,0.866,0.75,0.7,0.75,0.498471,0.550176,0.654623,0.1
4,3,0.750056,0,0,0,0.867163,0.607826,0.245791,0,0,0.151202,0.1,0.868,0.75,0.7,0.75,0.499941,0.550223,0.654839,0.1
5,11,0.751647,0,0,0,0.870454,0.609789,0.244736,0,0,0.143793,0.1,0.868,0.75,0.7,0.75,0.499402,0.54726,0.655059,0.1
6,1,0.753239,0,0,0,0.873745,0.611755,0.243681,0,0,0.136318,0.1,0.87,0.75,0.7,0.75,0.498853,0.547289,0.655282,0.1
7,5,0.755132,0,0,0,0.87804,0.613727,0.242624,0,0,0.128757,0.1,0.872,0.75,0.7,0.75,0.498295,0.547308,0.65951,0.1
8,7,0.756727,0,0,0,0.881334,0.615703,0.241567,0,0,0.12113,0.1,0.874,0.75,0.7,0.75,0.497726,0.547318,0.659741,0.1
9,1,0.758324,0,0,0,0.884629,0.617683,0.240509,0,0,0.113438,0.1,0.876,0.75,0.7,0.75,0.497147,0.547318,0.659976,0.1
10,10,0.759921,0,0,0,0.887924,0.619668,0.239449,0,0,0.105679,0.1,0.876,0.75,0.7,0.75,0.496559,0.55031,0.660216,0.1
11,7,0.76152,0,0,0,0.891219,0.621658,0.238389,0,0,0.0978549,0.1,0.878,0.75,0.7,0.75,0.495961,0.550292,0.660459,0.1
12,3,0.764018,0,0,0,0.897515,0.623645,0.237328,0,0,0.0899046,0.1,0.88,0.75,0.7,0.75,0.497352,0.550271,0.660706,0.1
13,2,0.765847,0,0,0,0.90081,0.625647,0.236265,0,2,0.0818885,0.1,0.881,0.74852,0.703,0.75,0.496734,0.55024,0.65998,0.1
14,2,0.767901,0,0,0,0.904105,0.627662,0.235202,0,2,0.0738064,0.1,0.882,0.74852,0.706,0.75,0.496106,0.5502,0.660235,0.1
15,4,0.769058,0,0,0,0.9059,0.629687,0.234138,0,2,0.0656884,0.1,0.879,0.74852,0.706,0.75,0.493968,0.550145,0.660495,0.1
