t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,1,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.862,0.75,0.7,0.75,0.4995,0.550068,0.650204,0.1
2,5,0.745976,0,0,0,0.857578,0.603908,0.247897,0,0,0.165783,0.1,0.864,0.75,0.7,0.75,0.49899,0.550126,0.654412,0.1
3,6,0.748167,0,0,0,0.860869,0.608876,0.246845,0,0,0.158565,0.1,0.866,0.75,0.7,0.75,0.496456,0.550161,0.654629,0.1
4,6,0.750361,0,0,0,0.86416,0.613855,0.245791,0,0,0.151282,0.1,0.868,0.75,0.7,0.75,0.493896,0.550171,0.654857,0.1
5,7,0.751956,0,0,0,0.867451,0.615839,0.244736,0,0,0.143933,0.1,0.87,0.75,0.7,0.75,0.493327,0.550172,0.655089,0.1
6,6,0.754154,0,0,0,0.870742,0.620835,0.243681,0,0,0.136518,0.1,0.872,0.75,0.7,0.75,0.490733,0.550149,0.655331,0.1
7,11,0.755753,0,0,0,0.874034,0.622836,0.242624,0,0,0.129038,0.1,0.872,0.75,0.7,0.75,0.490129,0.547117,0.655576,0.1
8,1,0.757353,0,0,0,0.877326,0.624842,0.241567,0,0,0.121491,0.1,0.874,0.75,0.7,0.75,0.489514,0.547075,0.655826,0.1
9,8,0.758954,0,0,0,0.880617,0.626852,0.240508,0,0,0.113879,0.1,0.874,0.75,0.7,0.75,0.48889,0.547023,0.65608,0.1
10,9,0.760557,0,0,0,0.88391,0.628867,0.239448,0.50102,4,0.106201,0.1,0.874,0.75,0.7,0.75,0.488256,0.546962,0.656337,0.1
11,1,0.76216,0,0,0,0.887202,0.630887,0.238388,0.45102,4,0.0984565,0.1,0.876,0.75,0.7,0.75,0.487612,0.546891,0.656599,0.1
12,1,0.763765,0,0,0,0.890494,0.632912,0.237326,0.40102,4,0.0906466,0.1,0.878,0.75,0.7,0.75,0.486957,0.546811,0.656865,0.1
13,6,0.765973,0,0,0,0.893787,0.637949,0.236264,0.35102,4,0.0827709,0.1,0.88,0.75,0.7,0.75,0.484278,0.546706,0.657141,0.1
14,1,0.767582,0,0,0,0.89708,0.639991,0.2352,0.30102,4,0.0748293,0.1,0.882,0.75,0.7,0.75,0.483588,0.546591,0.657421,0.1
15,1,0.769192,0,0,0,0.900373,0.642038,0.234136,0.25102,4,0.0668218,0.1,0.884,0.75,0.7,0.75,0.482888,0.546467,0.657705,0.1
16,11,0.770804,0,0,0,0.903666,0.64409,0.23307,0.20102,4,0.0587485,0.1,0.884,0.75,0.7,0.75,0.482178,0.543332,0.657993,0.1
17,4,0.771968,0,0,0,0.90546,0.646153,0.232004,0.15102,4,0.0506393,0.1,0.881,0.75,0.7,0.75,0.479957,0.543183,0.658285,0.1
18,8,0.773583,0,0,0,0.908753,0.648221,0.230936,0.10102,4,0.0424642,0.1,0.881,0.75,0.7,0.75,0.479227,0.543024,0.658582,0.1
19,9,0.7752,0,0,0,0.912047,0.650294,0.229867,0.0510198,4,0.0342233,0.1,0.881,0.75,0.7,0.75,0.478485,0.542855,0.658882,0.1
20,5,0.777118,0,0,0,0.916344,0.652372,0.228797,0.00101984,4,0.0258964,0.1,0.883,0.75,0.7,0.75,0.477734,0.542676,0.663187,0.1
21,6,0.77934,0,0,0,0.919642,0.657464,0.227727,0,4,0.0175036,0.1,0.885,0.75,0.7,0.75,0.474957,0.542472,0.663502,0.1
22,3,0.781861,0,0,0,0.925939,0.659553,0.226655,0,4,0.00898477,0.1,0.887,0.75,0.7,0.75,0.47617,0.542263,0.663821,0.1
23,6,0.784086,0,0,0,0.929237,0.664655,0.225582,0,4,0.00040003,0.1,0.889,0.75,0.7,0.75,0.473357,0.542029,0.66415,0.1
24,2,0.786163,0,0,0,0.932535,0.666771,0.224508,0,4,0,0.1,0.89,0.75,0.703,0.75,0.472534,0.541785,0.664484,0.1
25,11,0.787792,0,0,0,0.935834,0.668893,0.223432,0,4,0,0.1,0.89,0.75,0.703,0.75,0.4717,0.53853,0.664822,0.1
26,6,0.790024,0,0,0,0.939132,0.674028,0.222356,0,4,0,0.1,0.892,0.75,0.703,0.75,0.46884,0.53825,0.66517,0.1
27,2,0.792109,0,0,0,0.942431,0.676178,0.221278,0,4,0,0.1,0.893,0.75,0.706,0.75,0.46797,0.537958,0.665522,0.1
28,3,0.794644,0,0,0,0.94873,0.678326,0.2202,0,4,0,0.1,0.895,0.75,0.706,0.75,0.469089,0.537663,0.665879,0.1
29,3,0.797179,0,0,0,0.95503,0.680473,0.21912,0,4,0,0.1,0.897,0.75,0.706,0.75,0.470198,0.537362,0.66624,0.1
30,10,0.798816,0,0,0,0.958329,0.682626,0.218039,0,4,0,0.1,0.897,0.75,0.706,0.75,0.469295,0.540051,0.666605,0.1
31,7,0.800454,0,0,0,0.961629,0.684784,0.216957,0,4,0,0.1,0.899,0.75,0.706,0.75,0.468382,0.539729,0.666975,0.1
32,3,0.802992,0,0,0,0.96793,0.686941,0.215874,0,4,0,0.1,0.901,0.75,0.706,0.75,0.469458,0.539402,0.667349,0.1
33,7,0.804632,0,0,0,0.97123,0.689105,0.21479,0,4,0,0.1,0.903,0.75,0.706,0.75,0.468524,0.539064,0.667727,0.1
34,5,0.806574,0,0,0,0.975534,0.691274,0.213704,0,4,0,0.1,0.905,0.75,0.706,0.75,0.467578,0.538715,0.672109,0.1
35,10,0.808218,0,0,0,0.978838,0.693449,0.212617,0,4,0,0.1,0.905,0.75,0.706,0.75,0.466622,0.541355,0.672496,0.1
36,8,0.809863,0,0,0,0.982142,0.69563,0.211529,0,4,0,0.1,0.905,0.75,0.706,0.75,0.465655,0.540984,0.672887,0.1
37,10,0.81151,0,0,0,0.985447,0.697818,0.21044,0,4,0,0.1,0.905,0.75,0.706,0.75,0.464676,0.543602,0.673283,0.1
38,9,0.813158,0,0,0,0.988752,0.700012,0.20935,0,4,0,0.1,0.905,0.75,0.706,0.75,0.463687,0.543208,0.673683,0.1
