t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,10,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.86,0.75,0.7,0.75,0.4995,0.553068,0.650204,0.1
2,5,0.745976,0,0,0,0.857578,0.603908,0.247897,0,0,0.165783,0.1,0.862,0.75,0.7,0.75,0.49899,0.553126,0.654412,0.1
3,4,0.747117,0,0,0,0.859369,0.605874,0.246845,0,0,0.158595,0.1,0.859,0.75,0.7,0.75,0.496971,0.553171,0.654623,0.1
4,5,0.74901,0,0,0,0.863663,0.607844,0.245791,0,0,0.151322,0.1,0.861,0.75,0.7,0.75,0.496441,0.553208,0.658839,0.1
5,1,0.750604,0,0,0,0.866957,0.609819,0.244736,0,0,0.143983,0.1,0.863,0.75,0.7,0.75,0.495902,0.553234,0.659059,0.1
6,11,0.752199,0,0,0,0.870251,0.611799,0.243681,0,0,0.136578,0.1,0.863,0.75,0.7,0.75,0.495353,0.550252,0.659282,0.1
7,3,0.754694,0,0,0,0.876546,0.613775,0.242624,0,0,0.129047,0.1,0.865,0.75,0.7,0.75,0.496794,0.550267,0.65951,0.1
8,8,0.75629,0,0,0,0.87984,0.615757,0.241567,0,0,0.12145,0.1,0.865,0.75,0.7,0.75,0.496225,0.550272,0.659741,0.1
9,2,0.758339,0,0,0,0.883135,0.617751,0.240509,0,0,0.113787,0.1,0.866,0.75,0.703,0.75,0.495646,0.550268,0.659977,0.1
10,9,0.759939,0,0,0,0.88643,0.619751,0.239449,0,0,0.106059,0.1,0.866,0.75,0.703,0.75,0.495058,0.550255,0.660216,0.1
11,8,0.761541,0,0,0,0.889725,0.621755,0.238389,0,0,0.0982643,0.1,0.866,0.75,0.703,0.75,0.494459,0.550232,0.66046,0.1
12,8,0.763144,0,0,0,0.893021,0.623764,0.237328,0,0,0.0904039,0.1,0.866,0.75,0.703,0.75,0.49385,0.5502,0.660707,0.1
13,9,0.764747,0,0,0,0.896316,0.625778,0.236265,0,0,0.0824776,0.1,0.866,0.75,0.703,0.75,0.493231,0.550158,0.660959,0.1
14,6,0.766954,0,0,0,0.899612,0.630804,0.235202,0,0,0.0744854,0.1,0.868,0.75,0.703,0.75,0.490587,0.550092,0.661221,0.1
15,3,0.76946,0,0,0,0.905908,0.632827,0.234138,0,0,0.0663672,0.1,0.87,0.75,0.703,0.75,0.491933,0.550022,0.661486,0.1
16,1,0.771068,0,0,0,0.909204,0.634856,0.233073,0,0,0.0581831,0.1,0.872,0.75,0.703,0.75,0.491269,0.549943,0.661756,0.1
17,2,0.773128,0,0,0,0.9125,0.636898,0.232006,0,0,0.0499331,0.1,0.873,0.75,0.706,0.75,0.490595,0.549853,0.66203,0.1
18,1,0.77474,0,0,0,0.915797,0.638946,0.230939,0,0,0.0416172,0.1,0.875,0.75,0.706,0.75,0.48991,0.549754,0.662308,0.1
19,4,0.775905,0,0,0,0.917594,0.641004,0.229871,0,0,0.0332653,0.1,0.872,0.75,0.706,0.75,0.487716,0.549641,0.66259,0.1
20,2,0.777972,0,0,0,0.920891,0.643076,0.228802,0,0,0.0248475,0.1,0.873,0.75,0.709,0.75,0.487011,0.549517,0.662876,0.1
21,10,0.779591,0,0,0,0.924188,0.645153,0.227731,0,0,0.0163637,0.1,0.873,0.75,0.709,0.75,0.486295,0.552384,0.663166,0.1
22,9,0.781211,0,0,0,0.927485,0.647236,0.22666,0,0,0.00781404,0.1,0.873,0.75,0.709,0.75,0.48557,0.552241,0.663461,0.1
23,4,0.782383,0,0,0,0.929283,0.649329,0.225587,0,0,0,0.1,0.87,0.75,0.709,0.75,0.483333,0.552083,0.663759,0.1
24,6,0.784608,0,0,0,0.93258,0.654434,0.224514,0,0,0,0.1,0.872,0.75,0.709,0.75,0.480572,0.551899,0.664068,0.1
25,2,0.786686,0,0,0,0.935879,0.656554,0.223439,0,0,0,0.1,0.873,0.75,0.712,0.75,0.4798,0.551706,0.664381,0.1
26,6,0.788918,0,0,0,0.939177,0.661687,0.222364,0,0,0,0.1,0.875,0.75,0.712,0.75,0.477002,0.551487,0.664705,0.1
27,5,0.790851,0,0,0,0.943478,0.663825,0.221287,0,0,0,0.1,0.877,0.75,0.712,0.75,0.476193,0.551258,0.669032,0.1
28,3,0.793384,0,0,0,0.94978,0.665961,0.220209,0,0,0,0.1,0.879,0.75,0.712,0.75,0.477374,0.551024,0.669364,0.1
29,3,0.795918,0,0,0,0.956082,0.668096,0.21913,0,0,0,0.1,0.881,0.75,0.712,0.75,0.478544,0.550786,0.6697,0.1
30,1,0.797553,0,0,0,0.959384,0.670236,0.21805,0,0,0,0.1,0.883,0.75,0.712,0.75,0.477704,0.550537,0.670041,0.1
31,1,0.799189,0,0,0,0.962687,0.672382,0.216969,0,0,0,0.1,0.885,0.75,0.712,0.75,0.476853,0.550277,0.670386,0.1
32,5,0.801127,0,0,0,0.966993,0.674534,0.215887,0,0,0,0.1,0.887,0.75,0.712,0.75,0.475991,0.550007,0.674735,0.1
33,4,0.802318,0,0,0,0.968799,0.676697,0.214803,0,0,0,0.1,0.884,0.75,0.712,0.75,0.473618,0.549722,0.675088,0.1
34,7,0.803961,0,0,0,0.972105,0.678865,0.213719,0,0,0,0.1,0.886,0.75,0.712,0.75,0.472735,0.549425,0.675446,0.1
35,7,0.805605,0,0,0,0.975412,0.68104,0.212633,0,0,0,0.1,0.888,0.75,0.712,0.75,0.47184,0.549118,0.675808,0.1
36,7,0.80725,0,0,0,0.978719,0.68322,0.211546,0,0,0,0.1,0.89,0.75,0.712,0.75,0.470935,0.5488,0.676174,0.1
37,8,0.808897,0,0,0,0.982026,0.685406,0.210458,0,0,0,0.1,0.89,0.75,0.712,0.75,0.470019,0.548472,0.676545,0.1
38,8,0.810546,0,0,0,0.985333,0.687598,0.209369,0,0,0,0.1,0.89,0.75,0.712,0.75,0.469092,0.548132,0.67692,0.1
39,7,0.812196,0,0,0,0.988641,0.689797,0.208278,0,0,0,0.1,0.892,0.75,0.712,0.75,0.468154,0.547781,0.6773,0.1
40,4,0.813398,0,0,0,0.990449,0.692006,0.207187,0,0,0,0.1,0.889,0.75,0.712,0.75,0.465705,0.547414,0.677684,0.1
41,8,0.815053,0,0,0,0.993757,0.694222,0.206094,0,0,0,0.1,0.889,0.75,0.712,0.75,0.464745,0.547037,0.678072,0.1
42,2,0.81716,0,0,0,0.997066,0.696453,0.205,0,0,0,0.1,0.89,0.75,0.715,0.75,0.463774,0.546648,0.678465,0.1
43,5,0.818707,0,0,0,1,0.69869,0.203905,0,0,0,0.1,0.892,0.75,0.715,0.75,0.462792,0.546248,0.682863,0.1
44,4,0.819376,0,0,0,1,0.700938,0.202809,0,0,0,0.1,0.889,0.75,0.715,0.75,0.460298,0.545832,0.683265,0.1
45,3,0.820045,0,0,0,1,0.703186,0.201711,0,0,0,0.1,0.891,0.75,0.715,0.75,0.461294,0.54541,0.683671,0.1
46,11,0.820715,0,0,0,1,0.70544,0.200613,0,0,0,0.1,0.891,0.75,0.715,0.75,0.460278,0.541977,0.684082,0.1
47,4,0.821388,0,0,0,1,0.707705,0.199513,0,0,0,0.1,0.888,0.75,0.715,0.75,0.45775,0.541528,0.684497,0.1
48,9,0.822063,0,0,0,1,0.709977,0.198412,0,0,0,0.1,0.888,0.75,0.715,0.75,0.456712,0.541068,0.684917,0.1
49,4,0.82274,0,0,0,1,0.712261,0.197309,0,0,0,0.1,0.885,0.75,0.715,0.75,0.454162,0.540591,0.685342,0.1
50,4,0.82342,0,0,0,1,0.714557,0.196206,0,0,0,0.1,0.882,0.75,0.715,0.75,0.451601,0.540098,0.685771,0.1
51,9,0.824102,0,0,0,1,0.716859,0.195101,0,0,0,0.1,0.882,0.75,0.715,0.75,0.450528,0.539593,0.686205,0.1
52,1,0.824785,0,0,0,1,0.719168,0.193994,0,0,0,0.1,0.884,0.75,0.715,0.75,0.449444,0.539077,0.686643,0.1
53,6,0.826071,0,0,0,1,0.72449,0.192887,0,0,0,0.1,0.886,0.75,0.715,0.75,0.446333,0.538533,0.687092,0.1
54,10,0.826758,0,0,0,1,0.72682,0.191778,0,0,0,0.1,0.886,0.75,0.715,0.75,0.44521,0.540978,0.687546,0.1
55,2,0.827899,0,0,0,1,0.729165,0.190668,0,0,0,0.1,0.887,0.75,0.718,0.75,0.444076,0.54041,0.688004,0.1
56,3,0.82859,0,0,0,1,0.731509,0.189557,0,0,0,0.1,0.889,0.75,0.718,0.75,0.44493,0.539837,0.688467,0.1
57,11,0.829283,0,0,0,1,0.733861,0.188444,0,0,0,0.1,0.889,0.75,0.718,0.75,0.443773,0.536251,0.688935,0.1
58,4,0.829979,0,0,0,1,0.736225,0.187331,0,0,0,0.1,0.886,0.75,0.718,0.75,0.441104,0.535648,0.689407,0.1
59,8,0.830676,0,0,0,1,0.738595,0.186215,0,0,0,0.1,0.886,0.75,0.718,0.75,0.439922,0.535033,0.689884,0.1
60,9,0.831375,0,0,0,1,0.740973,0.185099,0,0,0,0.1,0.886,0.75,0.718,0.75,0.438729,0.534406,0.690366,0.1
61,4,0.832076,0,0,0,1,0.743363,0.183981,0,0,0,0.1,0.883,0.75,0.718,0.75,0.436025,0.533761,0.690853,0.1
62,6,0.833381,0,0,0,1,0.748767,0.182862,0,0,0,0.1,0.885,0.75,0.718,0.75,0.432793,0.533089,0.69135,0.1
63,11,0.834088,0,0,0,1,0.751179,0.181741,0,0,0,0.1,0.885,0.75,0.718,0.75,0.431549,0.529405,0.691853,0.1
64,10,0.834796,0,0,0,1,0.753598,0.180619,0,0,0,0.1,0.885,0.75,0.718,0.75,0.430293,0.531707,0.69236,0.1
65,10,0.835506,0,0,0,1,0.756024,0.179496,0.220412,6,0,0.1,0.885,0.75,0.718,0.75,0.429025,0.533997,0.692872,0.1
66,8,0.836217,0,0,0,1,0.758457,0.178371,0.170412,6,0,0.1,0.885,0.75,0.718,0.75,0.427745,0.533274,0.693389,0.1
67,5,0.836931,0,0,0,1,0.760898,0.177245,0.120412,6,0,0.1,0.887,0.75,0.718,0.75,0.426453,0.532539,0.697911,0.1
68,7,0.837646,0,0,0,1,0.763346,0.176118,0.0704122,6,0,0.1,0.889,0.75,0.718,0.75,0.425148,0.53179,0.698437,0.1
69,9,0.838363,0,0,0,1,0.765801,0.174989,0.0204122,6,0,0.1,0.889,0.75,0.718,0.75,0.423831,0.531028,0.698969,0.1
70,5,0.839081,0,0,0,1,0.768264,0.173858,0,6,0,0.1,0.891,0.75,0.718,0.75,0.422502,0.530253,0.703506,0.1
71,6,0.840403,0,0,0,1,0.773742,0.172727,0,6,0,0.1,0.893,0.75,0.718,0.75,0.419146,0.52945,0.704053,0.1
72,4,0.841128,0,0,0,1,0.776233,0.171594,0,6,0,0.1,0.89,0.75,0.718,0.75,0.416277,0.52863,0.704606,0.1
