t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,6,0.744688,0,0,0,0.853287,0.604959,0.248949,0,0,0.172934,0.1,0.862,0.75,0.7,0.75,0.497485,0.550053,0.65021,0.1
2,5,0.746579,0,0,0,0.857578,0.606923,0.247897,0,0,0.165783,0.1,0.864,0.75,0.7,0.75,0.49696,0.550096,0.654424,0.1
3,7,0.74817,0,0,0,0.860869,0.60889,0.246844,0,0,0.158565,0.1,0.866,0.75,0.7,0.75,0.496426,0.550131,0.654642,0.1
4,5,0.750063,0,0,0,0.865163,0.610863,0.245791,0,0,0.151262,0.1,0.868,0.75,0.7,0.75,0.495881,0.550156,0.658863,0.1
5,7,0.751658,0,0,0,0.868457,0.61284,0.244736,0,0,0.143893,0.1,0.87,0.75,0.7,0.75,0.495327,0.550172,0.659089,0.1
6,4,0.752805,0,0,0,0.870251,0.614827,0.243681,0,0,0.136488,0.1,0.867,0.75,0.7,0.75,0.493263,0.550174,0.659319,0.1
7,5,0.754703,0,0,0,0.874549,0.616818,0.242624,0,0,0.128997,0.1,0.869,0.75,0.7,0.75,0.492688,0.550168,0.663552,0.1
8,1,0.756304,0,0,0,0.877847,0.618814,0.241567,0,0,0.12144,0.1,0.871,0.75,0.7,0.75,0.492104,0.550151,0.66379,0.1
9,10,0.757905,0,0,0,0.881144,0.620815,0.240508,0,0,0.113817,0.1,0.871,0.75,0.7,0.75,0.49151,0.553126,0.664031,0.1
10,7,0.759507,0,0,0,0.884442,0.622821,0.239449,0,0,0.106128,0.1,0.873,0.75,0.7,0.75,0.490906,0.553091,0.664277,0.1
11,6,0.761712,0,0,0,0.887741,0.627838,0.238388,0,0,0.0983734,0.1,0.875,0.75,0.7,0.75,0.488277,0.553031,0.664533,0.1
12,10,0.763318,0,0,0,0.891039,0.62986,0.237327,0,0,0.0905526,0.1,0.875,0.75,0.7,0.75,0.487638,0.555962,0.664793,0.1
13,2,0.765378,0,0,0,0.894338,0.631897,0.236265,0.21486,4,0.0826659,0.1,0.876,0.75,0.703,0.75,0.486989,0.555884,0.665056,0.1
14,4,0.766539,0,0,0,0.896136,0.633943,0.235201,0.16486,4,0.0747432,0.1,0.873,0.75,0.703,0.75,0.484829,0.555791,0.665324,0.1
15,5,0.768453,0,0,0,0.900438,0.635995,0.234137,0.11486,4,0.0667344,0.1,0.875,0.75,0.703,0.75,0.484159,0.555688,0.669596,0.1
16,5,0.770369,0,0,0,0.904744,0.638051,0.233071,0.0648605,4,0.0586395,0.1,0.877,0.75,0.703,0.75,0.483479,0.555575,0.673872,0.1
17,2,0.772438,0,0,0,0.908049,0.640122,0.232005,0.0148605,4,0.0504785,0.1,0.878,0.75,0.706,0.75,0.482789,0.555453,0.674153,0.1
18,5,0.774359,0,0,0,0.912358,0.642198,0.230937,0,4,0.0422314,0.1,0.88,0.75,0.706,0.75,0.482089,0.555321,0.678437,0.1
19,5,0.776283,0,0,0,0.916669,0.644278,0.229869,0,4,0.033898,0.1,0.882,0.75,0.706,0.75,0.481378,0.555178,0.682726,0.1
20,3,0.778806,0,0,0,0.922982,0.646357,0.228799,0,4,0.0254384,0.1,0.884,0.75,0.706,0.75,0.482656,0.555032,0.683018,0.1
21,11,0.780431,0,0,0,0.926294,0.648441,0.227729,0,4,0.0169125,0.1,0.884,0.75,0.706,0.75,0.481924,0.551876,0.683315,0.1
22,10,0.782057,0,0,0,0.929606,0.65053,0.226657,0,4,0.00832036,0.1,0.884,0.75,0.706,0.75,0.481182,0.554709,0.683616,0.1
23,11,0.783684,0,0,0,0.932919,0.652625,0.225585,0,4,0,0.1,0.884,0.75,0.706,0.75,0.48043,0.551533,0.683921,0.1
24,5,0.785613,0,0,0,0.937235,0.654725,0.224511,0,4,0,0.1,0.886,0.75,0.706,0.75,0.479666,0.551346,0.688231,0.1
25,4,0.786795,0,0,0,0.939051,0.656835,0.223436,0,4,0,0.1,0.883,0.75,0.706,0.75,0.477393,0.551144,0.688545,0.1
26,11,0.788428,0,0,0,0.942367,0.658951,0.22236,0,4,0,0.1,0.883,0.75,0.706,0.75,0.476609,0.547932,0.688862,0.1
27,4,0.789614,0,0,0,0.944184,0.661078,0.221283,0,4,0,0.1,0.88,0.75,0.706,0.75,0.474314,0.547706,0.689185,0.1
28,3,0.79215,0,0,0,0.950501,0.663203,0.220205,0,4,0,0.1,0.882,0.75,0.706,0.75,0.475509,0.547474,0.689511,0.1
