t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,7,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.862,0.75,0.7,0.75,0.4995,0.550068,0.650204,0.1
2,4,0.745226,0,0,0,0.855075,0.603913,0.247897,0,0,0.165833,0.1,0.859,0.75,0.7,0.75,0.49749,0.550122,0.650412,0.1
3,10,0.746816,0,0,0,0.858363,0.605879,0.246845,0,0,0.158665,0.1,0.859,0.75,0.7,0.75,0.496971,0.553167,0.650623,0.1
4,9,0.748407,0,0,0,0.861651,0.60785,0.245791,0,0,0.151432,0.1,0.859,0.75,0.7,0.75,0.496441,0.553203,0.650839,0.1
5,7,0.749999,0,0,0,0.864939,0.609825,0.244736,0,0,0.144134,0.1,0.861,0.75,0.7,0.75,0.495902,0.55323,0.651059,0.1
6,6,0.752194,0,0,0,0.868227,0.614811,0.243681,0,0,0.136769,0.1,0.863,0.75,0.7,0.75,0.493338,0.553233,0.651288,0.1
7,5,0.754091,0,0,0,0.872519,0.616802,0.242624,0,0,0.129319,0.1,0.865,0.75,0.7,0.75,0.492764,0.553226,0.655522,0.1
8,1,0.755689,0,0,0,0.87581,0.618798,0.241567,0,0,0.121803,0.1,0.867,0.75,0.7,0.75,0.49218,0.55321,0.65576,0.1
9,1,0.757289,0,0,0,0.879102,0.620799,0.240508,0,0,0.114221,0.1,0.869,0.75,0.7,0.75,0.491586,0.553185,0.656001,0.1
10,5,0.75919,0,0,0,0.883397,0.622804,0.239449,0,0,0.106553,0.1,0.871,0.75,0.7,0.75,0.490982,0.55315,0.660247,0.1
11,7,0.760793,0,0,0,0.886692,0.624814,0.238389,0,0,0.0988187,0.1,0.873,0.75,0.7,0.75,0.490368,0.553106,0.660496,0.1
12,7,0.762397,0,0,0,0.889988,0.626829,0.237327,0,0,0.091019,0.1,0.875,0.75,0.7,0.75,0.489744,0.553052,0.66075,0.1
13,7,0.764002,0,0,0,0.893283,0.628848,0.236265,0,0,0.0831533,0.1,0.877,0.75,0.7,0.75,0.48911,0.552989,0.661008,0.1
14,4,0.765159,0,0,0,0.895079,0.630878,0.235202,0,0,0.0752517,0.1,0.874,0.75,0.7,0.75,0.486965,0.552912,0.66127,0.1
15,9,0.766768,0,0,0,0.898375,0.632913,0.234137,0,0,0.0672842,0.1,0.874,0.75,0.7,0.75,0.486311,0.552825,0.661535,0.1
16,6,0.768979,0,0,0,0.901671,0.63796,0.233072,0,0,0.0592508,0.1,0.876,0.75,0.7,0.75,0.483631,0.552713,0.661811,0.1
17,4,0.770143,0,0,0,0.903468,0.640018,0.232006,0,0,0.0511814,0.1,0.873,0.75,0.7,0.75,0.481442,0.552587,0.662091,0.1
18,10,0.771758,0,0,0,0.906764,0.64208,0.230938,0,0,0.0430461,0.1,0.873,0.75,0.7,0.75,0.480742,0.555451,0.662376,0.1
19,11,0.773374,0,0,0,0.910061,0.644148,0.22987,0,0,0.0348449,0.1,0.873,0.75,0.7,0.75,0.480031,0.552305,0.662664,0.1
20,9,0.774991,0,0,0,0.913358,0.64622,0.228801,0,0,0.0265778,0.1,0.873,0.75,0.7,0.75,0.47931,0.552149,0.662956,0.1
21,2,0.777062,0,0,0,0.916655,0.648307,0.22773,0,0,0.0182447,0.1,0.874,0.75,0.703,0.75,0.478579,0.551983,0.663253,0.1
22,4,0.778235,0,0,0,0.918453,0.650405,0.226659,0,0,0.00987561,0.1,0.871,0.75,0.703,0.75,0.476338,0.551802,0.663554,0.1
23,3,0.780758,0,0,0,0.92475,0.652501,0.225586,0,0,0.0013806,0.1,0.873,0.75,0.703,0.75,0.477586,0.551618,0.663859,0.1
24,2,0.782834,0,0,0,0.928048,0.654611,0.224512,0,0,0,0.1,0.874,0.75,0.706,0.75,0.476823,0.551423,0.664168,0.1
25,5,0.784763,0,0,0,0.932349,0.656726,0.223438,0,0,0,0.1,0.876,0.75,0.706,0.75,0.47605,0.551217,0.668481,0.1
26,2,0.786844,0,0,0,0.935651,0.658856,0.222362,0,0,0,0.1,0.877,0.75,0.709,0.75,0.475267,0.551002,0.668799,0.1
27,8,0.788476,0,0,0,0.938952,0.660984,0.221285,0.0518473,5,0,0.1,0.877,0.75,0.709,0.747708,0.474472,0.550776,0.669121,0.1
28,1,0.790108,0,0,0,0.942254,0.663115,0.220207,0.00184732,5,0,0.1,0.879,0.75,0.709,0.746545,0.473667,0.550539,0.669447,0.1
29,5,0.792042,0,0,0,0.946559,0.66525,0.219128,0,5,0,0.1,0.881,0.75,0.709,0.746504,0.472852,0.550292,0.673778,0.1
30,1,0.793678,0,0,0,0.949865,0.667392,0.218048,0,5,0,0.1,0.883,0.75,0.709,0.746504,0.472026,0.550035,0.674113,0.1
31,1,0.795315,0,0,0,0.95317,0.669539,0.216966,0,5,0,0.1,0.885,0.75,0.709,0.746504,0.471189,0.549767,0.674452,0.1
32,5,0.797255,0,0,0,0.957479,0.671691,0.215884,0,5,0,0.1,0.887,0.75,0.709,0.746504,0.470341,0.549488,0.678795,0.1
33,3,0.799795,0,0,0,0.963788,0.673842,0.214801,0,5,0,0.1,0.889,0.75,0.709,0.746504,0.471482,0.549205,0.679143,0.1
34,6,0.802037,0,0,0,0.967097,0.679006,0.213716,0,5,0,0.1,0.891,0.75,0.709,0.746504,0.468598,0.548896,0.679501,0.1
35,7,0.803681,0,0,0,0.970407,0.681176,0.21263,0,5,0,0.1,0.893,0.75,0.709,0.746504,0.467703,0.548576,0.679863,0.1
36,5,0.805628,0,0,0,0.97472,0.683352,0.211543,0,5,0,0.1,0.895,0.75,0.709,0.746504,0.466797,0.548246,0.68423,0.1
37,5,0.807577,0,0,0,0.979036,0.685534,0.210455,0,5,0,0.1,0.897,0.75,0.709,0.746504,0.465881,0.547904,0.688601,0.1
