t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,6,0.744688,0,0,0,0.853287,0.604959,0.248949,0,0,0.172934,0.1,0.862,0.75,0.7,0.75,0.497485,0.550053,0.65021,0.1
2,9,0.746278,0,0,0,0.856575,0.606923,0.247897,0.230883,6,0.165803,0.1,0.862,0.75,0.7,0.75,0.49696,0.550096,0.650424,0.1
3,6,0.74847,0,0,0,0.859863,0.611898,0.246844,0.180883,6,0.158605,0.1,0.864,0.75,0.7,0.75,0.494411,0.550115,0.650648,0.1
4,8,0.750063,0,0,0,0.863151,0.613877,0.245791,0.130883,6,0.151342,0.1,0.864,0.75,0.7,0.75,0.493851,0.550126,0.650875,0.1
5,10,0.751657,0,0,0,0.866439,0.615862,0.244736,0.0808834,6,0.144014,0.1,0.864,0.75,0.7,0.75,0.493282,0.553127,0.651107,0.1
6,5,0.753553,0,0,0,0.87073,0.617851,0.24368,0.0308834,6,0.136599,0.1,0.866,0.75,0.7,0.75,0.492702,0.553118,0.655343,0.1
7,4,0.754702,0,0,0,0.872522,0.61985,0.242624,0,6,0.129149,0.1,0.863,0.75,0.7,0.75,0.490613,0.553096,0.655582,0.1
8,9,0.756301,0,0,0,0.875814,0.621853,0.241566,0,6,0.121632,0.1,0.863,0.75,0.7,0.75,0.490014,0.553065,0.655826,0.1
9,4,0.757453,0,0,0,0.877606,0.623867,0.240508,0,6,0.11408,0.1,0.86,0.75,0.7,0.75,0.487905,0.553019,0.656074,0.1
10,7,0.759057,0,0,0,0.880898,0.625886,0.239448,0,6,0.106462,0.1,0.862,0.75,0.7,0.75,0.487285,0.552964,0.656326,0.1
11,11,0.760661,0,0,0,0.88419,0.627909,0.238388,0,6,0.0987785,0.1,0.862,0.75,0.7,0.75,0.486656,0.549899,0.656581,0.1
12,10,0.762267,0,0,0,0.887482,0.629937,0.237326,0,6,0.0910289,0.1,0.862,0.75,0.7,0.75,0.486016,0.552825,0.656841,0.1
13,1,0.763874,0,0,0,0.890775,0.63197,0.236264,0,6,0.0832134,0.1,0.864,0.75,0.7,0.75,0.485367,0.552741,0.657105,0.1
14,8,0.765482,0,0,0,0.894068,0.634008,0.235201,0,6,0.075332,0.1,0.864,0.75,0.7,0.75,0.484707,0.552648,0.657373,0.1
15,10,0.767091,0,0,0,0.897361,0.636051,0.234136,0,6,0.0673848,0.1,0.864,0.75,0.7,0.75,0.484037,0.555545,0.657645,0.1
16,5,0.769003,0,0,0,0.901657,0.638099,0.233071,0,6,0.0593517,0.1,0.866,0.75,0.7,0.75,0.483357,0.555432,0.661922,0.1
17,10,0.770616,0,0,0,0.904953,0.640152,0.232004,0,6,0.0512526,0.1,0.866,0.75,0.7,0.75,0.482666,0.558309,0.662202,0.1
