t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,9,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.86,0.75,0.7,0.75,0.4995,0.550068,0.650204,0.1
2,1,0.745675,0,0,0,0.856575,0.603908,0.247897,0,0,0.165803,0.1,0.862,0.75,0.7,0.75,0.49899,0.550126,0.650412,0.1
3,7,0.747264,0,0,0,0.859863,0.605869,0.246845,0,0,0.158605,0.1,0.864,0.75,0.7,0.75,0.498471,0.550176,0.650623,0.1
4,4,0.748405,0,0,0,0.861651,0.607839,0.245791,0,0,0.151372,0.1,0.861,0.75,0.7,0.75,0.496441,0.550212,0.650839,0.1
5,3,0.750896,0,0,0,0.867939,0.609807,0.244736,0,0,0.144014,0.1,0.863,0.75,0.7,0.75,0.497902,0.550245,0.651059,0.1
6,3,0.753386,0,0,0,0.874227,0.611772,0.243681,0,0,0.136529,0.1,0.865,0.75,0.7,0.75,0.499353,0.550275,0.651282,0.1
7,11,0.754978,0,0,0,0.877516,0.613741,0.242624,0,0,0.128979,0.1,0.865,0.75,0.7,0.75,0.498794,0.547296,0.65151,0.1
8,9,0.756571,0,0,0,0.880804,0.615715,0.241567,0,0,0.121363,0.1,0.865,0.75,0.7,0.75,0.498226,0.547307,0.651741,0.1
9,3,0.759064,0,0,0,0.887093,0.617687,0.240509,0,0,0.113621,0.1,0.867,0.75,0.7,0.75,0.499647,0.547315,0.651977,0.1
10,3,0.761554,0,0,0,0.893382,0.619656,0.239458,0,0,0.105753,0.1,0.869,0.75,0.7,0.75,0.501059,0.54732,0.652216,0.1
11,3,0.764042,0,0,0,0.899671,0.621622,0.238417,0,0,0.0977598,0.1,0.871,0.75,0.7,0.75,0.50246,0.547322,0.652459,0.1
12,9,0.765633,0,0,0,0.902961,0.623593,0.237371,0,0,0.0897006,0.1,0.871,0.75,0.7,0.75,0.501852,0.547314,0.652706,0.1
13,8,0.767225,0,0,0,0.90625,0.625569,0.236318,0,0,0.0815756,0.1,0.871,0.75,0.7,0.75,0.501234,0.547297,0.652957,0.1
14,5,0.769121,0,0,0,0.910543,0.62755,0.23526,0,0,0.0733647,0.1,0.873,0.75,0.7,0.75,0.500606,0.547271,0.657213,0.1
15,1,0.770719,0,0,0,0.913836,0.629535,0.234196,0,0,0.065088,0.1,0.875,0.75,0.7,0.75,0.499969,0.547235,0.657472,0.1
16,7,0.772318,0,0,0,0.917129,0.631526,0.23313,0,0,0.0567454,0.1,0.877,0.75,0.7,0.75,0.499321,0.54719,0.657735,0.1
17,10,0.773918,0,0,0,0.920422,0.633521,0.232064,0,0,0.048337,0.1,0.877,0.75,0.7,0.75,0.498663,0.550135,0.658002,0.1
18,4,0.775071,0,0,0,0.922216,0.635527,0.230997,0,0,0.0398927,0.1,0.874,0.75,0.7,0.75,0.496496,0.550066,0.658273,0.1
19,4,0.776226,0,0,0,0.92401,0.637543,0.229929,0,0,0.0314125,0.1,0.871,0.75,0.7,0.75,0.494318,0.549983,0.658548,0.1
20,2,0.778284,0,0,0,0.927303,0.639573,0.22886,0,0,0.0228664,0.1,0.872,0.75,0.703,0.75,0.49363,0.54989,0.658827,0.1
21,2,0.780345,0,0,0,0.930598,0.641617,0.227789,0,0,0.0142544,0.1,0.873,0.75,0.706,0.75,0.492932,0.549787,0.65911,0.1
22,11,0.781957,0,0,0,0.933892,0.643666,0.226718,0,0,0.00557661,0.1,0.873,0.75,0.706,0.75,0.492224,0.546674,0.659398,0.1
23,7,0.783571,0,0,0,0.937186,0.645721,0.225646,0,0,0,0.1,0.875,0.75,0.706,0.75,0.491506,0.546552,0.659689,0.1
24,9,0.785186,0,0,0,0.940481,0.64778,0.224572,0,0,0,0.1,0.875,0.75,0.706,0.75,0.490777,0.546419,0.659985,0.1
25,3,0.787701,0,0,0,0.946776,0.649838,0.223498,0,0,0,0.1,0.877,0.75,0.706,0.75,0.492039,0.546283,0.660284,0.1
26,3,0.790216,0,0,0,0.953071,0.651894,0.222422,0,0,0,0.1,0.879,0.75,0.706,0.75,0.493289,0.546142,0.660588,0.1
27,10,0.789652,0,0,0,0.952053,0.649529,0.221346,0.17632,1,0,0.1,0.879,0.75,0.706,0.75,0.492552,0.549005,0.660887,0.1
28,7,0.789576,0,0,0,0.951991,0.648159,0.220268,0.12632,1,0,0.1,0.881,0.75,0.706,0.75,0.491822,0.548868,0.661183,0.1
29,5,0.790282,0,0,0,0.953882,0.647774,0.21919,0.0763198,1,0,0.1,0.883,0.75,0.706,0.75,0.491093,0.548728,0.665479,0.1
30,8,0.791169,0,0,0,0.955726,0.648368,0.21811,0.0263198,1,0,0.1,0.883,0.75,0.706,0.75,0.490362,0.548583,0.665776,0.1
31,7,0.792538,0,0,0,0.958522,0.649938,0.217029,0,1,0,0.1,0.885,0.75,0.706,0.75,0.489622,0.548429,0.666076,0.1
32,11,0.794162,0,0,0,0.961821,0.652025,0.215948,0,1,0,0.1,0.885,0.75,0.706,0.75,0.488873,0.545265,0.66638,0.1
33,8,0.795787,0,0,0,0.965121,0.654117,0.214865,0,1,0,0.1,0.885,0.75,0.706,0.75,0.488113,0.545091,0.666688,0.1
34,6,0.798015,0,0,0,0.968421,0.659223,0.213781,0,1,0,0.1,0.887,0.75,0.706,0.75,0.485327,0.544892,0.667006,0.1
35,8,0.799644,0,0,0,0.971721,0.661333,0.212696,0,1,0,0.1,0.887,0.75,0.706,0.75,0.484531,0.544682,0.667329,0.1
36,5,0.801575,0,0,0,0.976025,0.663449,0.21161,0,1,0,0.1,0.889,0.75,0.706,0.75,0.483724,0.544462,0.671656,0.1
37,6,0.80381,0,0,0,0.979329,0.668578,0.210523,0,1,0,0.1,0.891,0.75,0.706,0.75,0.480892,0.544216,0.671993,0.1
38,11,0.805446,0,0,0,0.982633,0.670713,0.209434,0,1,0,0.1,0.891,0.75,0.706,0.75,0.480049,0.54096,0.672334,0.1
39,3,0.807981,0,0,0,0.988937,0.672846,0.208345,0,1,0,0.1,0.893,0.75,0.706,0.75,0.481195,0.540699,0.67268,0.1
