t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,3,0.744983,0,0,0,0.856287,0.601945,0.248961,0,0,0.172874,0.1,0.862,0.75,0.7,0.75,0.5015,0.550074,0.650204,0.1
2,1,0.746568,0,0,0,0.859575,0.603894,0.247917,0,0,0.165683,0.1,0.864,0.75,0.7,0.75,0.50099,0.550138,0.650412,0.1
3,1,0.748155,0,0,0,0.862863,0.605847,0.246868,0,0,0.158425,0.1,0.866,0.75,0.7,0.75,0.500471,0.550194,0.650623,0.1
4,2,0.750195,0,0,0,0.866151,0.607814,0.245815,0,0,0.151102,0.1,0.867,0.75,0.703,0.75,0.499942,0.550241,0.650839,0.1
5,5,0.752088,0,0,0,0.870442,0.609785,0.24476,0,0,0.143694,0.1,0.869,0.75,0.703,0.75,0.499403,0.550278,0.655059,0.1
6,5,0.753982,0,0,0,0.874736,0.61176,0.243704,0,0,0.136199,0.1,0.871,0.75,0.703,0.75,0.498854,0.550307,0.659282,0.1
7,5,0.755879,0,0,0,0.879034,0.613741,0.242648,0,0,0.128618,0.1,0.873,0.75,0.703,0.75,0.498295,0.550326,0.66351,0.1
8,1,0.757476,0,0,0,0.882331,0.615726,0.241591,0,0,0.120972,0.1,0.875,0.75,0.703,0.75,0.497726,0.550336,0.663741,0.1
9,11,0.759075,0,0,0,0.885629,0.617715,0.240532,0,0,0.113259,0.1,0.875,0.75,0.703,0.75,0.497147,0.547337,0.663976,0.1
10,6,0.761277,0,0,0,0.888927,0.622716,0.239473,0,0,0.10548,0.1,0.877,0.75,0.703,0.75,0.494544,0.547313,0.664222,0.1
11,8,0.76288,0,0,0,0.892225,0.624722,0.238413,0,0,0.097636,0.1,0.877,0.75,0.703,0.75,0.49393,0.54728,0.664471,0.1
12,1,0.764484,0,0,0,0.895524,0.626733,0.237351,0,0,0.0897255,0.1,0.879,0.75,0.703,0.75,0.493307,0.547237,0.664725,0.1
13,11,0.766089,0,0,0,0.898822,0.628749,0.236289,0,0,0.081749,0.1,0.879,0.75,0.703,0.75,0.492673,0.544185,0.664982,0.1
14,2,0.768147,0,0,0,0.902121,0.630779,0.235226,0,0,0.0737066,0.1,0.88,0.75,0.706,0.75,0.492029,0.544123,0.665244,0.1
15,1,0.769756,0,0,0,0.90542,0.632813,0.234161,0,0,0.0655982,0.1,0.882,0.75,0.706,0.75,0.491375,0.544052,0.665509,0.1
16,2,0.771819,0,0,0,0.908719,0.634862,0.233096,0,0,0.0574238,0.1,0.883,0.75,0.709,0.75,0.490711,0.54397,0.665779,0.1
17,10,0.773433,0,0,0,0.912018,0.636915,0.23203,0,0,0.0491835,0.1,0.883,0.75,0.709,0.75,0.490037,0.546879,0.666053,0.1
18,9,0.775048,0,0,0,0.915318,0.638974,0.230963,0,0,0.0408771,0.1,0.883,0.75,0.709,0.75,0.489352,0.546779,0.666331,0.1
19,7,0.776664,0,0,0,0.918618,0.641037,0.229894,0,0,0.0325048,0.1,0.885,0.75,0.709,0.75,0.488658,0.546668,0.666613,0.1
20,2,0.778733,0,0,0,0.921918,0.643115,0.228825,0,0,0.0240664,0.1,0.886,0.75,0.712,0.75,0.487952,0.546547,0.666899,0.1
21,5,0.780655,0,0,0,0.926221,0.645197,0.227755,0,0,0.015542,0.1,0.888,0.75,0.712,0.75,0.487237,0.546417,0.67119,0.1
22,10,0.782278,0,0,0,0.929524,0.647285,0.226683,0,0,0.0069515,0.1,0.888,0.75,0.712,0.75,0.486511,0.549276,0.671484,0.1
23,5,0.784203,0,0,0,0.933831,0.649379,0.225611,0,0,0,0.1,0.89,0.75,0.712,0.75,0.485774,0.549125,0.675783,0.1
24,10,0.785829,0,0,0,0.937138,0.651477,0.224537,0,0,0,0.1,0.89,0.75,0.712,0.75,0.485027,0.551964,0.676086,0.1
25,10,0.787457,0,0,0,0.940445,0.653581,0.223463,0,0,0,0.1,0.89,0.75,0.712,0.75,0.48427,0.554793,0.676393,0.1
26,7,0.789086,0,0,0,0.943752,0.65569,0.222387,0,0,0,0.1,0.892,0.75,0.712,0.75,0.483502,0.554612,0.676704,0.1
27,5,0.791018,0,0,0,0.948063,0.657804,0.22131,0,0,0,0.1,0.894,0.75,0.712,0.75,0.482724,0.55442,0.68102,0.1
28,4,0.792201,0,0,0,0.949873,0.65993,0.220232,0,0,0,0.1,0.891,0.75,0.712,0.75,0.480435,0.554214,0.68134,0.1
29,4,0.793388,0,0,0,0.951684,0.662066,0.219153,0,0,0,0.1,0.888,0.75,0.712,0.75,0.478135,0.553992,0.681664,0.1
30,7,0.795025,0,0,0,0.954996,0.664207,0.218073,0,0,0,0.1,0.89,0.75,0.712,0.75,0.477325,0.55376,0.681993,0.1
31,8,0.796665,0,0,0,0.958307,0.666355,0.216992,0,0,0,0.1,0.89,0.75,0.712,0.75,0.476504,0.553518,0.682325,0.1
32,10,0.798305,0,0,0,0.961619,0.668507,0.21591,0,0,0,0.1,0.89,0.75,0.712,0.75,0.475672,0.556265,0.682662,0.1
33,9,0.799947,0,0,0,0.964931,0.670666,0.214827,0,0,0,0.1,0.89,0.75,0.712,0.75,0.474829,0.556001,0.683004,0.1
34,8,0.80159,0,0,0,0.968243,0.67283,0.213742,0,0,0,0.1,0.89,0.75,0.712,0.75,0.473976,0.555727,0.683349,0.1
35,6,0.803837,0,0,0,0.971556,0.678007,0.212657,0,0,0,0.1,0.892,0.75,0.712,0.75,0.471097,0.555427,0.683705,0.1
36,5,0.805785,0,0,0,0.975871,0.68019,0.21157,0,0,0,0.1,0.894,0.75,0.712,0.75,0.470207,0.555116,0.688066,0.1
37,9,0.807435,0,0,0,0.979187,0.682379,0.210482,0,0,0,0.1,0.894,0.75,0.712,0.75,0.469306,0.554794,0.68843,0.1
38,10,0.809087,0,0,0,0.982504,0.684573,0.209393,0,0,0,0.1,0.894,0.75,0.712,0.75,0.468394,0.557461,0.6888,0.1
39,7,0.81074,0,0,0,0.98582,0.686774,0.208303,0,0,0,0.1,0.896,0.75,0.712,0.75,0.467471,0.557117,0.689173,0.1
40,4,0.811946,0,0,0,0.987637,0.688986,0.207212,0,0,0,0.1,0.893,0.75,0.712,0.75,0.465037,0.556758,0.689551,0.1
41,2,0.814055,0,0,0,0.990954,0.691213,0.206119,0,0,0,0.1,0.894,0.75,0.715,0.75,0.464092,0.556387,0.689933,0.1
42,1,0.815716,0,0,0,0.994272,0.693446,0.205026,0,0,0,0.1,0.896,0.75,0.715,0.75,0.463136,0.556006,0.69032,0.1
43,2,0.817829,0,0,0,0.99759,0.695694,0.203931,0,0,0,0.1,0.897,0.75,0.718,0.75,0.462169,0.555612,0.690712,0.1
44,5,0.819223,0,0,0,1,0.697948,0.202835,0,0,0,0.1,0.899,0.75,0.718,0.75,0.461191,0.555208,0.695108,0.1
45,10,0.819894,0,0,0,1,0.700209,0.201738,0,0,0,0.1,0.899,0.75,0.718,0.75,0.460201,0.557792,0.695508,0.1
46,4,0.820568,0,0,0,1,0.702481,0.200639,0,0,0,0.1,0.896,0.75,0.718,0.75,0.4577,0.557361,0.695913,0.1
47,9,0.821244,0,0,0,1,0.704759,0.199539,0,0,0,0.1,0.896,0.75,0.718,0.75,0.456687,0.556917,0.696323,0.1
48,5,0.821921,0,0,0,1,0.707044,0.198438,0,0,0,0.1,0.898,0.75,0.718,0.75,0.455664,0.556463,0.700737,0.1
49,7,0.8226,0,0,0,1,0.709335,0.197336,0,0,0,0.1,0.9,0.75,0.718,0.75,0.454628,0.555996,0.701155,0.1
50,5,0.82328,0,0,0,1,0.711632,0.196233,0,0,0,0.1,0.902,0.75,0.718,0.75,0.453582,0.555518,0.705579,0.1
51,2,0.824413,0,0,0,1,0.713945,0.195128,0,0,0,0.1,0.903,0.75,0.721,0.75,0.452524,0.555028,0.706006,0.1
52,6,0.8257,0,0,0,1,0.719272,0.194022,0,0,0,0.1,0.905,0.75,0.721,0.75,0.449439,0.554511,0.706445,0.1
53,9,0.826388,0,0,0,1,0.721605,0.192915,0,0,0,0.1,0.905,0.75,0.721,0.75,0.448342,0.553982,0.706888,0.1
54,6,0.827679,0,0,0,1,0.726953,0.191807,0,0,0,0.1,0.907,0.75,0.721,0.75,0.445219,0.553427,0.707342,0.1
55,8,0.828372,0,0,0,1,0.729307,0.190697,0,0,0,0.1,0.907,0.75,0.721,0.75,0.444085,0.552859,0.707801,0.1
56,2,0.829518,0,0,0,1,0.731676,0.189586,0,0,0,0.1,0.908,0.75,0.724,0.75,0.442938,0.552278,0.708264,0.1
57,8,0.830216,0,0,0,1,0.734053,0.188474,0,0,0,0.1,0.908,0.75,0.724,0.75,0.44178,0.551686,0.708732,0.1
58,8,0.830915,0,0,0,1,0.736436,0.18736,0,0,0,0.1,0.908,0.75,0.724,0.75,0.44061,0.551081,0.709205,0.1
59,8,0.831616,0,0,0,1,0.738827,0.186245,0,0,0,0.1,0.908,0.75,0.724,0.75,0.439427,0.550464,0.709683,0.1
60,7,0.832319,0,0,0,1,0.741224,0.185129,0,0,0,0.1,0.91,0.75,0.724,0.75,0.438233,0.549835,0.710165,0.1
61,10,0.833023,0,0,0,1,0.743629,0.184012,0,0,0,0.1,0.91,0.75,0.724,0.75,0.437027,0.552192,0.710652,0.1
62,8,0.833729,0,0,0,1,0.74604,0.182893,0,0,0,0.1,0.91,0.75,0.724,0.75,0.435809,0.551538,0.711145,0.1
63,2,0.834889,0,0,0,1,0.748468,0.181772,0,0,0,0.1,0.911,0.75,0.727,0.75,0.434579,0.55087,0.711641,0.1
64,1,0.8356,0,0,0,1,0.750902,0.180651,0,0,0,0.1,0.913,0.75,0.727,0.75,0.433336,0.55019,0.712143,0.1
65,3,0.836312,0,0,0,1,0.753337,0.179528,0,0,0,0.1,0.915,0.75,0.727,0.75,0.434082,0.549504,0.71265,0.1
66,8,0.837025,0,0,0,1,0.755779,0.178403,0,0,0,0.1,0.915,0.75,0.727,0.75,0.432815,0.548804,0.713161,0.1
67,7,0.83774,0,0,0,1,0.758228,0.177278,0,0,0,0.1,0.917,0.75,0.727,0.75,0.431536,0.548091,0.713678,0.1
68,3,0.838455,0,0,0,1,0.760678,0.176151,0,0,0,0.1,0.919,0.75,0.727,0.75,0.432245,0.547372,0.714199,0.1
69,11,0.839172,0,0,0,1,0.763135,0.175022,0,0,0,0.1,0.919,0.75,0.727,0.75,0.430942,0.54364,0.714726,0.1
70,6,0.840493,0,0,0,1,0.768606,0.173892,0,0,0,0.1,0.921,0.75,0.727,0.75,0.427611,0.542879,0.715263,0.1
71,7,0.841215,0,0,0,1,0.771085,0.172761,0,0,0,0.1,0.923,0.75,0.727,0.75,0.426268,0.542106,0.715805,0.1
72,1,0.841939,0,0,0,1,0.773572,0.171628,0,0,0,0.1,0.925,0.75,0.727,0.75,0.424913,0.541319,0.716352,0.1
73,6,0.843266,0,0,0,1,0.779074,0.170494,0,0,0,0.1,0.927,0.75,0.727,0.75,0.42153,0.540504,0.71691,0.1
74,6,0.844596,0,0,0,1,0.78459,0.169358,0,0,0,0.1,0.929,0.75,0.727,0.75,0.418119,0.53966,0.717479,0.1
75,5,0.845329,0,0,0,1,0.787115,0.168221,0,0,0,0.1,0.931,0.75,0.727,0.75,0.416696,0.538803,0.722054,0.1
76,6,0.846664,0,0,0,1,0.792654,0.167083,0,0,0,0.1,0.933,0.75,0.727,0.75,0.413246,0.537917,0.722639,0.1
77,9,0.847402,0,0,0,1,0.795202,0.165943,0,0,0,0.1,0.933,0.75,0.727,0.75,0.411783,0.537017,0.723229,0.1
78,2,0.848593,0,0,0,1,0.797766,0.164801,0,0,0,0.1,0.934,0.75,0.73,0.75,0.410307,0.536104,0.723825,0.1
