t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,10,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.86,0.75,0.7,0.75,0.4995,0.553068,0.650204,0.1
2,2,0.746126,0,0,0,0.856575,0.603917,0.247897,0,0,0.165803,0.1,0.861,0.75,0.703,0.75,0.49899,0.553126,0.650412,0.1
3,2,0.748169,0,0,0,0.859863,0.605896,0.246845,0,0,0.158605,0.1,0.862,0.75,0.706,0.75,0.498471,0.553176,0.650624,0.1
4,5,0.750064,0,0,0,0.864154,0.607878,0.245791,0,0,0.151322,0.1,0.864,0.75,0.706,0.75,0.497941,0.553216,0.654839,0.1
5,1,0.751659,0,0,0,0.867445,0.609866,0.244736,0,0,0.143974,0.1,0.866,0.75,0.706,0.75,0.497402,0.553248,0.655059,0.1
6,6,0.752303,0,0,0,0.865553,0.614865,0.243681,0.248769,3,0.136662,0.1,0.868,0.75,0.706,0.75,0.494837,0.553255,0.655289,0.1
7,11,0.753363,0,0,0,0.868843,0.616869,0.242624,0.0696865,2,0.129286,0.1,0.868,0.746409,0.706,0.75,0.494263,0.550252,0.65317,0.1
8,10,0.754651,0,0,0,0.872132,0.618877,0.241567,0.0196865,2,0.121843,0.1,0.868,0.744329,0.706,0.75,0.493679,0.553241,0.652042,0.1
9,3,0.757062,0,0,0,0.87842,0.620883,0.240508,0,2,0.114275,0.1,0.87,0.743743,0.706,0.75,0.495084,0.553226,0.651899,0.1
10,7,0.758663,0,0,0,0.881709,0.622894,0.239449,0,2,0.10664,0.1,0.872,0.743743,0.706,0.75,0.49448,0.553201,0.652144,0.1
11,2,0.760717,0,0,0,0.884998,0.624918,0.238389,0,2,0.0989404,0.1,0.873,0.743743,0.709,0.75,0.493866,0.553167,0.652394,0.1
12,2,0.762774,0,0,0,0.888288,0.626957,0.237327,0,2,0.0911746,0.1,0.874,0.743743,0.712,0.75,0.493241,0.553124,0.652648,0.1
13,4,0.763933,0,0,0,0.890077,0.629005,0.236265,0.0539846,4,0.0833731,0.1,0.871,0.743743,0.712,0.75,0.491106,0.553066,0.652906,0.1
14,5,0.765844,0,0,0,0.89437,0.631058,0.235202,0.00398459,4,0.0754857,0.1,0.873,0.743743,0.712,0.75,0.490461,0.552998,0.657168,0.1
15,2,0.767908,0,0,0,0.897663,0.633126,0.234137,0,4,0.0675325,0.1,0.874,0.743743,0.715,0.75,0.489806,0.552921,0.657434,0.1
16,4,0.769074,0,0,0,0.899456,0.635203,0.233072,0,4,0.0595433,0.1,0.871,0.743743,0.715,0.75,0.48764,0.55283,0.657705,0.1
17,7,0.770692,0,0,0,0.902749,0.637286,0.232006,0,4,0.0514884,0.1,0.873,0.743743,0.715,0.75,0.486964,0.552729,0.657979,0.1
18,9,0.772311,0,0,0,0.906043,0.639373,0.230938,0,4,0.0433675,0.1,0.873,0.743743,0.715,0.75,0.486278,0.552617,0.658258,0.1
19,9,0.773931,0,0,0,0.909336,0.641466,0.22987,0,4,0.0351808,0.1,0.873,0.743743,0.715,0.75,0.485581,0.552496,0.658541,0.1
20,10,0.775553,0,0,0,0.91263,0.643564,0.228801,0,4,0.0269282,0.1,0.873,0.743743,0.715,0.75,0.484874,0.555365,0.658828,0.1
21,5,0.777477,0,0,0,0.916927,0.645667,0.22773,0,4,0.0185896,0.1,0.875,0.743743,0.715,0.75,0.484156,0.555223,0.66312,0.1
22,9,0.779102,0,0,0,0.920225,0.647775,0.226659,0,4,0.0101851,0.1,0.875,0.743743,0.715,0.75,0.483427,0.555072,0.663415,0.1
23,5,0.781029,0,0,0,0.924525,0.649888,0.225586,0,4,0.00169464,0.1,0.877,0.743743,0.715,0.75,0.482689,0.55491,0.667715,0.1
24,10,0.782658,0,0,0,0.927826,0.652007,0.224513,0,4,0,0.1,0.877,0.743743,0.715,0.75,0.481939,0.557738,0.668019,0.1
25,7,0.784288,0,0,0,0.931127,0.654131,0.223438,0,4,0,0.1,0.879,0.743743,0.715,0.75,0.481179,0.557556,0.668327,0.1
26,5,0.78622,0,0,0,0.935431,0.65626,0.222362,0,4,0,0.1,0.881,0.743743,0.715,0.75,0.480408,0.557364,0.67264,0.1
27,11,0.787854,0,0,0,0.938736,0.658395,0.221286,0,4,0,0.1,0.881,0.743743,0.715,0.75,0.479627,0.554161,0.672956,0.1
28,6,0.79009,0,0,0,0.94204,0.663542,0.220208,0.150242,6,0,0.1,0.883,0.743743,0.715,0.75,0.47682,0.553933,0.673284,0.1
29,2,0.79218,0,0,0,0.945345,0.665704,0.219129,0.100242,6,0,0.1,0.884,0.743743,0.718,0.75,0.476002,0.553694,0.673615,0.1
30,3,0.79472,0,0,0,0.951651,0.667864,0.218049,0.0502419,6,0,0.1,0.886,0.743743,0.718,0.75,0.477174,0.553451,0.673951,0.1
31,11,0.796361,0,0,0,0.954956,0.67003,0.216967,0.000241853,6,0,0.1,0.886,0.743743,0.718,0.75,0.476335,0.550197,0.674291,0.1
32,1,0.798003,0,0,0,0.958262,0.672202,0.215885,0,6,0,0.1,0.888,0.743743,0.718,0.75,0.475484,0.549932,0.674635,0.1
33,8,0.799647,0,0,0,0.961568,0.674379,0.214802,0,6,0,0.1,0.888,0.743743,0.718,0.75,0.474623,0.549657,0.674984,0.1
34,7,0.801293,0,0,0,0.964874,0.676562,0.213717,0,6,0,0.1,0.89,0.743743,0.718,0.75,0.473752,0.54937,0.675337,0.1
35,7,0.802939,0,0,0,0.96818,0.67875,0.212631,0,6,0,0.1,0.892,0.743743,0.718,0.75,0.472869,0.549073,0.675695,0.1
36,9,0.804588,0,0,0,0.971487,0.680945,0.211545,0,6,0,0.1,0.892,0.743743,0.718,0.75,0.471975,0.548765,0.676056,0.1
37,9,0.806237,0,0,0,0.974794,0.683145,0.210457,0.262426,6,0,0.1,0.892,0.743743,0.718,0.75,0.47107,0.548447,0.676423,0.1
38,4,0.80744,0,0,0,0.976602,0.685357,0.209367,0.212426,6,0,0.1,0.889,0.743743,0.718,0.75,0.468655,0.548112,0.676793,0.1
39,5,0.809395,0,0,0,0.980912,0.687575,0.208277,0.162426,6,0,0.1,0.891,0.743743,0.718,0.75,0.467728,0.547767,0.681169,0.1
40,9,0.811051,0,0,0,0.984223,0.689799,0.207186,0.112426,6,0,0.1,0.891,0.743743,0.718,0.75,0.46679,0.54741,0.681548,0.1
41,9,0.812709,0,0,0,0.987534,0.692028,0.206093,0.0624259,6,0,0.1,0.891,0.743743,0.718,0.75,0.465841,0.547042,0.681932,0.1
42,7,0.814368,0,0,0,0.990846,0.694264,0.204999,0.0124259,6,0,0.1,0.893,0.743743,0.718,0.75,0.464881,0.546663,0.682321,0.1
43,7,0.816029,0,0,0,0.994157,0.696506,0.203904,0,6,0,0.1,0.895,0.743743,0.718,0.75,0.463909,0.546273,0.682714,0.1
44,8,0.817691,0,0,0,0.997469,0.698754,0.202808,0,6,0,0.1,0.895,0.743743,0.718,0.75,0.462927,0.545871,0.683111,0.1
45,1,0.819121,0,0,0,1,0.701008,0.20171,0,6,0,0.1,0.897,0.743743,0.718,0.75,0.461933,0.545458,0.683513,0.1
46,5,0.819793,0,0,0,1,0.703269,0.200612,0,6,0,0.1,0.899,0.743743,0.718,0.75,0.460928,0.545034,0.68792,0.1
47,8,0.820466,0,0,0,1,0.705536,0.199512,0,6,0,0.1,0.899,0.743743,0.718,0.75,0.459912,0.544598,0.688331,0.1
48,9,0.821141,0,0,0,1,0.707809,0.198411,0,6,0,0.1,0.899,0.743743,0.718,0.75,0.458884,0.54415,0.688747,0.1
49,6,0.822419,0,0,0,1,0.713096,0.197309,0,6,0,0.1,0.901,0.743743,0.718,0.75,0.45583,0.543676,0.689173,0.1
50,5,0.823098,0,0,0,1,0.715389,0.196205,0.170699,4,0,0.1,0.903,0.743743,0.718,0.75,0.454765,0.54319,0.693603,0.1
51,8,0.823779,0,0,0,1,0.717689,0.1951,0.120699,4,0,0.1,0.903,0.743743,0.718,0.75,0.453688,0.542693,0.694039,0.1
52,6,0.825063,0,0,0,1,0.723003,0.193994,0.0706987,4,0,0.1,0.905,0.743743,0.718,0.75,0.450584,0.542168,0.694485,0.1
53,7,0.825749,0,0,0,1,0.725323,0.192887,0.0206987,4,0,0.1,0.907,0.743743,0.718,0.75,0.449469,0.541631,0.694936,0.1
54,3,0.826434,0,0,0,1,0.727643,0.191778,0,4,0,0.1,0.909,0.743743,0.718,0.75,0.450342,0.541089,0.695391,0.1
55,7,0.827122,0,0,0,1,0.729969,0.190668,0,4,0,0.1,0.911,0.743743,0.718,0.75,0.449204,0.540534,0.695851,0.1
56,2,0.828262,0,0,0,1,0.732312,0.189557,0,4,0,0.1,0.912,0.743743,0.721,0.75,0.448054,0.539967,0.696315,0.1
57,10,0.828955,0,0,0,1,0.734661,0.188444,0,4,0,0.1,0.912,0.743743,0.721,0.75,0.446893,0.542388,0.696785,0.1
58,2,0.830101,0,0,0,1,0.737026,0.187331,0,4,0,0.1,0.913,0.743743,0.724,0.75,0.44572,0.541797,0.697259,0.1
59,7,0.830798,0,0,0,1,0.739398,0.186215,0,4,0,0.1,0.915,0.743743,0.724,0.75,0.444534,0.541194,0.697738,0.1
60,6,0.832099,0,0,0,1,0.744785,0.185099,0,4,0,0.1,0.917,0.743743,0.724,0.75,0.441322,0.540563,0.698227,0.1
61,5,0.832801,0,0,0,1,0.747178,0.183981,0,4,0,0.1,0.919,0.743743,0.724,0.75,0.440099,0.539919,0.702721,0.1
62,1,0.833505,0,0,0,1,0.749579,0.182862,0,4,0,0.1,0.921,0.743743,0.724,0.75,0.438863,0.539263,0.703221,0.1
63,1,0.83421,0,0,0,1,0.751986,0.181741,0,4,0,0.1,0.923,0.743743,0.724,0.75,0.437615,0.538594,0.703725,0.1
64,8,0.834918,0,0,0,1,0.754401,0.180619,0,4,0,0.1,0.923,0.743743,0.724,0.75,0.436355,0.537912,0.704233,0.1
65,11,0.835627,0,0,0,1,0.756823,0.179496,0,4,0,0.1,0.923,0.743743,0.724,0.75,0.435083,0.534218,0.704747,0.1
66,5,0.836338,0,0,0,1,0.759253,0.178372,0,4,0,0.1,0.925,0.743743,0.724,0.75,0.433799,0.533511,0.709266,0.1
67,10,0.83705,0,0,0,1,0.76169,0.177246,0,4,0,0.1,0.925,0.743743,0.724,0.75,0.432502,0.535791,0.709789,0.1
68,4,0.837766,0,0,0,1,0.76414,0.176118,0,4,0,0.1,0.922,0.743743,0.724,0.75,0.429694,0.535054,0.710317,0.1
69,2,0.838935,0,0,0,1,0.766606,0.174989,0,4,0,0.1,0.923,0.743743,0.727,0.75,0.428373,0.534303,0.71085,0.1
70,10,0.839655,0,0,0,1,0.769079,0.173859,0,4,0,0.1,0.923,0.743743,0.727,0.75,0.42704,0.536539,0.711389,0.1
71,2,0.84083,0,0,0,1,0.77157,0.172727,0,4,0,0.1,0.924,0.743743,0.73,0.75,0.425695,0.535763,0.711932,0.1
72,3,0.841555,0,0,0,1,0.77406,0.171594,0,4,0,0.1,0.926,0.743743,0.73,0.75,0.426337,0.534978,0.71248,0.1
73,6,0.842883,0,0,0,1,0.779566,0.17046,0,4,0,0.1,0.928,0.743743,0.73,0.75,0.422952,0.534166,0.713039,0.1
74,9,0.843612,0,0,0,1,0.782079,0.169324,0,4,0,0.1,0.928,0.743743,0.73,0.75,0.421554,0.53334,0.713603,0.1
75,6,0.844946,0,0,0,1,0.787608,0.168186,0,4,0,0.1,0.93,0.743743,0.73,0.75,0.418128,0.532486,0.714178,0.1
76,5,0.845681,0,0,0,1,0.790144,0.167048,0,4,0,0.1,0.932,0.743743,0.73,0.75,0.41669,0.531618,0.718759,0.1
77,8,0.846418,0,0,0,1,0.792688,0.165907,0,4,0,0.1,0.932,0.743743,0.73,0.75,0.41524,0.530736,0.719344,0.1
78,3,0.847155,0,0,0,1,0.795233,0.164765,0,4,0,0.1,0.934,0.743743,0.73,0.75,0.415776,0.529846,0.719934,0.1
79,10,0.847894,0,0,0,1,0.797786,0.163622,0,4,0,0.1,0.934,0.743743,0.73,0.75,0.4143,0.531943,0.72053,0.1
80,6,0.849237,0,0,0,1,0.803355,0.162477,0,4,0,0.1,0.936,0.743743,0.73,0.75,0.410796,0.531011,0.721137,0.1
81,6,0.850583,0,0,0,1,0.808939,0.161331,0,4,0,0.1,0.938,0.743743,0.73,0.75,0.407264,0.530049,0.721755,0.1
82,8,0.851331,0,0,0,1,0.811531,0.160183,0,4,0,0.1,0.938,0.743743,0.73,0.75,0.40572,0.529074,0.722378,0.1
83,11,0.852081,0,0,0,1,0.814131,0.159033,0,4,0,0.1,0.938,0.743743,0.73,0.75,0.404162,0.525084,0.723006,0.1
84,10,0.852833,0,0,0,1,0.81674,0.157882,0,4,0,0.1,0.938,0.743743,0.73,0.75,0.402591,0.52708,0.723639,0.1
85,7,0.853587,0,0,0,1,0.819358,0.15673,0,4,0,0.1,0.94,0.743743,0.73,0.75,0.401008,0.526062,0.724278,0.1
86,10,0.854343,0,0,0,1,0.821984,0.155576,0,4,0,0.1,0.94,0.743743,0.73,0.75,0.399411,0.52803,0.724922,0.1
87,8,0.855101,0,0,0,1,0.824618,0.15442,0,4,0,0.1,0.94,0.743743,0.73,0.75,0.397801,0.526983,0.725571,0.1
88,10,0.855861,0,0,0,1,0.827261,0.153263,0,4,0,0.1,0.94,0.743743,0.73,0.75,0.396178,0.528921,0.726226,0.1
89,9,0.856623,0,0,0,1,0.829913,0.152104,0,4,0,0.1,0.94,0.743743,0.73,0.75,0.394542,0.527845,0.726886,0.1
90,3,0.857386,0,0,0,1,0.832567,0.150943,0,4,0,0.1,0.942,0.743743,0.73,0.75,0.394892,0.52676,0.727551,0.1
91,11,0.858151,0,0,0,1,0.835229,0.149781,0,4,0,0.1,0.942,0.743743,0.73,0.75,0.393229,0.52266,0.728221,0.1
92,4,0.858919,0,0,0,1,0.837905,0.148617,0,4,0,0.1,0.939,0.743743,0.73,0.75,0.390053,0.521541,0.728897,0.1
93,6,0.86029,0,0,0,1,0.843597,0.147452,0,4,0,0.1,0.941,0.743743,0.73,0.75,0.386349,0.520393,0.729584,0.1
94,11,0.861064,0,0,0,1,0.846299,0.146285,0,4,0,0.1,0.941,0.743743,0.73,0.75,0.384631,0.516229,0.730277,0.1
95,7,0.86184,0,0,0,1,0.849009,0.145116,0,4,0,0.1,0.943,0.743743,0.73,0.75,0.382899,0.51505,0.730975,0.1
96,10,0.862618,0,0,0,1,0.851729,0.143946,0,4,0,0.1,0.943,0.743743,0.73,0.75,0.381154,0.516856,0.731678,0.1
97,5,0.863398,0,0,0,1,0.854458,0.142774,0,4,0,0.1,0.945,0.743743,0.73,0.75,0.379395,0.515647,0.736387,0.1
98,5,0.86418,0,0,0,1,0.857196,0.141601,0,4,0,0.1,0.947,0.743743,0.73,0.75,0.377623,0.514422,0.741102,0.1
99,6,0.865566,0,0,0,1,0.86295,0.140425,0,4,0,0.1,0.949,0.743743,0.73,0.75,0.373822,0.513167,0.741828,0.1
100,1,0.866354,0,0.001,0,1,0.865714,0.139248,0,4,0,0.1,0.951,0.743743,0.73,0.75,0.372007,0.511896,0.742559,0.1
101,1,0.867145,0,0.003,0,1,0.868487,0.13807,0,4,0,0.1,0.953,0.743743,0.73,0.75,0.370179,0.51061,0.743296,0.1
102,1,0.867937,0,0.005,0,1,0.871269,0.136889,0,4,0,0.1,0.955,0.743743,0.73,0.75,0.368336,0.509309,0.744039,0.1
103,9,0.868732,0,0.005,0,1,0.874062,0.135707,0,4,0,0.1,0.955,0.743743,0.73,0.75,0.36648,0.507991,0.744787,0.1
104,7,0.869529,0,0.007,0,1,0.876863,0.134523,0,4,0,0.1,0.957,0.743743,0.73,0.75,0.36461,0.506658,0.74554,0.1
105,5,0.870329,0,0.009,0,1,0.879675,0.133338,0,4,0,0.1,0.959,0.743743,0.73,0.75,0.362725,0.505309,0.7503,0.1
106,4,0.871132,0,0.006,0,1,0.882501,0.13215,0,4,0,0.1,0.956,0.743743,0.73,0.75,0.359327,0.50394,0.751065,0.1
107,6,0.872538,0,0.008,0,1,0.888344,0.130961,0,4,0,0.1,0.958,0.743743,0.73,0.75,0.355399,0.502539,0.751841,0.1
108,7,0.873347,0,0.01,0,1,0.891198,0.12977,0,4,0,0.1,0.96,0.743743,0.73,0.75,0.353458,0.501122,0.752624,0.1
109,10,0.874158,0,0.01,0,1,0.894061,0.128578,0,4,0,0.1,0.96,0.743743,0.73,0.75,0.351502,0.502689,0.753412,0.1
110,11,0.874972,0,0.01,0,1,0.896934,0.127383,0,4,0,0.1,0.96,0.743743,0.73,0.75,0.349531,0.49824,0.754206,0.1
111,10,0.875787,0,0.01,0,1,0.899817,0.126187,0,4,0,0.1,0.96,0.743743,0.73,0.75,0.347547,0.499774,0.755005,0.1
112,10,0.876606,0,0.01,0,1,0.90271,0.124989,0,4,0,0.1,0.96,0.743743,0.73,0.75,0.345548,0.501292,0.755811,0.1
113,11,0.877426,0,0.01,0,1,0.905614,0.123789,0,4,0,0.1,0.96,0.743743,0.73,0.75,0.343534,0.496793,0.756622,0.1
114,2,0.878701,0,0.011,0,1,0.908536,0.122587,0,4,0,0.1,0.961,0.743743,0.733,0.75,0.341506,0.495278,0.757439,0.1
115,6,0.88013,0,0.013,0,1,0.914476,0.121384,0,4,0,0.1,0.963,0.743743,0.733,0.75,0.337448,0.49373,0.758268,0.1
116,4,0.880962,0,0.01,0,1,0.917432,0.120178,0,4,0,0.1,0.96,0.743743,0.733,0.75,0.333876,0.492162,0.759103,0.1
117,2,0.882249,0,0.011,0,1,0.920407,0.118971,0,4,0,0.1,0.961,0.743743,0.736,0.75,0.331789,0.490576,0.759944,0.1
118,2,0.883539,0,0.012,0,1,0.923401,0.117762,0,4,0,0.1,0.962,0.743743,0.739,0.75,0.329687,0.488974,0.760791,0.1
119,9,0.884383,0,0.012,0,1,0.926407,0.116551,0,4,0,0.1,0.962,0.743743,0.739,0.75,0.32757,0.487354,0.761643,0.1
120,6,0.88583,0,0.014,0,1,0.93243,0.115338,0,4,0,0.1,0.964,0.743743,0.739,0.75,0.323423,0.485702,0.762508,0.1
